txn_date,gl_account,Debit,Credit,memo
2026-04-24,1000 Cash,,3080.0,Pay BILL-3128 Firstlane Logistics CHK#1004
2026-04-24,2000 Accounts Payable,3080.0,,Pay BILL-3128 Firstlane Logistics CHK#1004
2026-04-25,1000 Cash,8312.0,,Deposit - Glenrock Solutions INV-2228
2026-04-25,1100 Accounts Receivable,,8312.0,Deposit - Glenrock Solutions INV-2228
2026-04-25,1000 Cash,,2032.0,Pay BILL-3129 Junction Utility Co-op CHK#1005
2026-04-25,2000 Accounts Payable,2032.0,,Pay BILL-3129 Junction Utility Co-op CHK#1005
2026-04-26,1000 Cash,17042.0,,Deposit - Zephyr Dynamics INV-2229
2026-04-26,1100 Accounts Receivable,,17042.0,Deposit - Zephyr Dynamics INV-2229
2026-04-28,1000 Cash,,29152.0,Payroll 2026-04/16-04/30
2026-04-28,2300 Payroll Liabilities,,8222.0,Payroll 2026-04/16-04/30
2026-04-28,6000 Salaries Expense,37374.0,,Payroll 2026-04/16-04/30
2026-04-28,1300 Prepaid Insurance,,95.0,Monthly insurance amortization
2026-04-28,6400 Insurance Expense,95.0,,Monthly insurance amortization
2026-04-28,1590 Accumulated Depreciation,,1009.36,Monthly depreciation
2026-04-28,6800 Depreciation Expense,1009.36,,Monthly depreciation
2026-05-01,1000 Cash,8319.0,,Deposit - Vesper Technologies INV-2226
2026-05-01,1100 Accounts Receivable,,8319.0,Deposit - Vesper Technologies INV-2226
2026-05-03,1000 Cash,,6001.0,Rent - Grandview Properties LLC
2026-05-03,6100 Rent Expense,6001.0,,Rent - Grandview Properties LLC
2026-05-05,1100 Accounts Receivable,7924.0,,Invoice INV-2233 - Silverthorne Media
2026-05-05,4000 Product Sales,,7924.0,Invoice INV-2233 - Silverthorne Media
2026-05-05,1400 Inventory,,3816.0,COGS - INV-2233
2026-05-05,5000 Cost of Goods Sold,3816.0,,COGS - INV-2233
2026-05-06,1000 Cash,6181.0,,Deposit - Quimby Ventures INV-2224
2026-05-06,1100 Accounts Receivable,,6181.0,Deposit - Quimby Ventures INV-2224
2026-05-06,2000 Accounts Payable,,5040.0,BILL-3131 Junction Utility Co-op
2026-05-06,6500 Utilities Expense,5040.0,,BILL-3131 Junction Utility Co-op
2026-05-06,2000 Accounts Payable,,2073.0,BILL-3134 Inkwell Print Co.
2026-05-06,6700 Office Supplies,2073.0,,BILL-3134 Inkwell Print Co.
2026-05-10,2000 Accounts Payable,,1616.0,BILL-3133 Willow Creek Packaging
2026-05-10,5100 Freight & Shipping,1616.0,,BILL-3133 Willow Creek Packaging
2026-05-13,1100 Accounts Receivable,13335.0,,Invoice INV-2236 - Quimby Ventures
2026-05-13,4000 Product Sales,,13335.0,Invoice INV-2236 - Quimby Ventures
2026-05-13,1400 Inventory,,6737.0,COGS - INV-2236
2026-05-13,5000 Cost of Goods Sold,6737.0,,COGS - INV-2236
2026-05-14,1100 Accounts Receivable,15146.0,,Invoice INV-2230 - Rosewood Retail
2026-05-14,4100 Shipping Income,,15146.0,Invoice INV-2230 - Rosewood Retail
2026-05-15,1100 Accounts Receivable,22738.0,,Invoice INV-2235 - Rosewood Retail
2026-05-15,4000 Product Sales,,22738.0,Invoice INV-2235 - Rosewood Retail
2026-05-15,1400 Inventory,,10814.0,COGS - INV-2235
2026-05-15,5000 Cost of Goods Sold,10814.0,,COGS - INV-2235
2026-05-15,1000 Cash,,18492.0,Payroll 2026-05/01-05/15
2026-05-15,2300 Payroll Liabilities,,5215.0,Payroll 2026-05/01-05/15
2026-05-15,6000 Salaries Expense,23707.0,,Payroll 2026-05/01-05/15
2026-05-16,1100 Accounts Receivable,21612.0,,Invoice INV-2234 - Rosewood Retail
2026-05-16,4000 Product Sales,,21612.0,Invoice INV-2234 - Rosewood Retail
2026-05-16,1400 Inventory,,12486.0,COGS - INV-2234
2026-05-16,5000 Cost of Goods Sold,12486.0,,COGS - INV-2234
2026-05-17,1000 Cash,7924.0,,Deposit - Silverthorne Media INV-2233
2026-05-17,1100 Accounts Receivable,,7924.0,Deposit - Silverthorne Media INV-2233
2026-05-19,2000 Accounts Payable,,1108.0,BILL-3132 Helix IT Solutions
2026-05-19,6450 Software Expense,1108.0,,BILL-3132 Helix IT Solutions
2026-05-20,1100 Accounts Receivable,19065.0,,Invoice INV-2232 - Eastgate Collective
2026-05-20,4000 Product Sales,,19065.0,Invoice INV-2232 - Eastgate Collective
2026-05-20,1400 Inventory,,9286.0,COGS - INV-2232
2026-05-20,5000 Cost of Goods Sold,9286.0,,COGS - INV-2232
2026-05-22,1100 Accounts Receivable,13241.0,,Invoice INV-2231 - Vesper Technologies
2026-05-22,4000 Product Sales,,13241.0,Invoice INV-2231 - Vesper Technologies
2026-05-22,1400 Inventory,,6551.0,COGS - INV-2231
2026-05-22,5000 Cost of Goods Sold,6551.0,,COGS - INV-2231
2026-05-25,1000 Cash,,1108.0,Pay BILL-3132 Helix IT Solutions CHK#1007
2026-05-25,2000 Accounts Payable,1108.0,,Pay BILL-3132 Helix IT Solutions CHK#1007
2026-05-28,1000 Cash,,18476.0,Payroll 2026-05/16-05/30
2026-05-28,2300 Payroll Liabilities,,5211.0,Payroll 2026-05/16-05/30
2026-05-28,6000 Salaries Expense,23687.0,,Payroll 2026-05/16-05/30
2026-05-28,1300 Prepaid Insurance,,95.0,Monthly insurance amortization
2026-05-28,6400 Insurance Expense,95.0,,Monthly insurance amortization
2026-05-28,1590 Accumulated Depreciation,,1009.36,Monthly depreciation
2026-05-28,6800 Depreciation Expense,1009.36,,Monthly depreciation
2026-06-01,1000 Cash,22738.0,,Deposit - Rosewood Retail INV-2235
2026-06-01,1100 Accounts Receivable,,22738.0,Deposit - Rosewood Retail INV-2235
2026-06-02,1100 Accounts Receivable,19345.0,,Invoice INV-2239 - Glenrock Solutions
2026-06-02,4100 Shipping Income,,19345.0,Invoice INV-2239 - Glenrock Solutions
2026-06-03,1000 Cash,,6001.0,Rent - Grandview Properties LLC
2026-06-03,6100 Rent Expense,6001.0,,Rent - Grandview Properties LLC
2026-06-05,1100 Accounts Receivable,9944.0,,Invoice INV-2238 - Eastgate Collective
2026-06-05,4000 Product Sales,,9944.0,Invoice INV-2238 - Eastgate Collective
2026-06-05,1400 Inventory,,5327.0,COGS - INV-2238
2026-06-05,5000 Cost of Goods Sold,5327.0,,COGS - INV-2238
2026-06-05,2000 Accounts Payable,,5676.0,BILL-3138 Firstlane Logistics
2026-06-05,5100 Freight & Shipping,5676.0,,BILL-3138 Firstlane Logistics
2026-06-05,1000 Cash,,960.0,Prepaid software - 12 month license (Orchard Software Ltd.)
2026-06-05,1310 Prepaid Software,960.0,,Prepaid software - 12 month license (Orchard Software Ltd.)
2026-06-06,2000 Accounts Payable,,8168.5,BILL-3139 Willow Creek Packaging
2026-06-06,5100 Freight & Shipping,8168.5,,BILL-3139 Willow Creek Packaging
2026-06-09,1100 Accounts Receivable,18003.0,,Invoice INV-2241 - Quimby Ventures
2026-06-09,4000 Product Sales,,18003.0,Invoice INV-2241 - Quimby Ventures
2026-06-09,1400 Inventory,,7741.0,COGS - INV-2241
2026-06-09,5000 Cost of Goods Sold,7741.0,,COGS - INV-2241
2026-06-10,1000 Cash,21612.0,,Deposit - Rosewood Retail INV-2234
2026-06-10,1100 Accounts Receivable,,21612.0,Deposit - Rosewood Retail INV-2234
2026-06-10,1000 Cash,,5676.0,Pay BILL-3138 Firstlane Logistics CHK#1009
2026-06-10,2000 Accounts Payable,5676.0,,Pay BILL-3138 Firstlane Logistics CHK#1009
2026-06-12,1000 Cash,13335.0,,Deposit - Quimby Ventures INV-2236
2026-06-12,1100 Accounts Receivable,,13335.0,Deposit - Quimby Ventures INV-2236
2026-06-12,2000 Accounts Payable,,7393.94,BILL-3140 Bright Harbor Media
2026-06-12,6200 Advertising & Marketing,7393.94,,BILL-3140 Bright Harbor Media
2026-06-12,2000 Accounts Payable,,3189.0,BILL-3142 Kite Digital Ads
2026-06-12,6700 Office Supplies,3189.0,,BILL-3142 Kite Digital Ads
2026-06-12,1000 Cash,12321.0,,Owner capital contribution
2026-06-12,3000 Retained Earnings,,12321.0,Owner capital contribution
2026-06-13,2000 Accounts Payable,,14158.5,BILL-3141 Meridian Legal LLP
2026-06-13,6600 Professional Fees,14158.5,,BILL-3141 Meridian Legal LLP
2026-06-15,1000 Cash,,8168.5,Pay BILL-3139 Willow Creek Packaging CHK#1010
2026-06-15,2000 Accounts Payable,8168.5,,Pay BILL-3139 Willow Creek Packaging CHK#1010
2026-06-15,2000 Accounts Payable,,3541.0,BILL-3137 Stanton Cleaning Crew
2026-06-15,6700 Office Supplies,3541.0,,BILL-3137 Stanton Cleaning Crew
2026-06-15,1000 Cash,,29609.0,Payroll 2026-06/01-06/15
2026-06-15,2300 Payroll Liabilities,,8350.0,Payroll 2026-06/01-06/15
2026-06-15,6000 Salaries Expense,37959.0,,Payroll 2026-06/01-06/15
2026-06-17,1000 Cash,,3189.0,Pay BILL-3142 Kite Digital Ads CHK#1012
2026-06-17,2000 Accounts Payable,3189.0,,Pay BILL-3142 Kite Digital Ads CHK#1012
2026-06-18,1100 Accounts Receivable,7940.0,,Invoice INV-2237 - Zephyr Dynamics
2026-06-18,4100 Shipping Income,,7940.0,Invoice INV-2237 - Zephyr Dynamics
2026-06-18,1000 Cash,,3541.0,Pay BILL-3137 Stanton Cleaning Crew CHK#1014
2026-06-18,2000 Accounts Payable,3541.0,,Pay BILL-3137 Stanton Cleaning Crew CHK#1014
2026-06-19,1000 Cash,19065.0,,Deposit - Eastgate Collective INV-2232
2026-06-19,1100 Accounts Receivable,,19065.0,Deposit - Eastgate Collective INV-2232
2026-06-19,1000 Cash,9944.0,,Deposit - Eastgate Collective INV-2238
2026-06-19,1100 Accounts Receivable,,9944.0,Deposit - Eastgate Collective INV-2238
2026-06-19,1000 Cash,,14158.5,Pay BILL-3141 Meridian Legal LLP CHK#1013
2026-06-19,2000 Accounts Payable,14158.5,,Pay BILL-3141 Meridian Legal LLP CHK#1013
2026-06-20,1100 Accounts Receivable,6697.0,,Invoice INV-2240 - Zephyr Dynamics
2026-06-20,4000 Product Sales,,6697.0,Invoice INV-2240 - Zephyr Dynamics
2026-06-20,1400 Inventory,,3375.0,COGS - INV-2240
2026-06-20,5000 Cost of Goods Sold,3375.0,,COGS - INV-2240
2026-06-21,1000 Cash,,7393.94,Pay BILL-3140 Bright Harbor Media CHK#1011
2026-06-21,2000 Accounts Payable,7393.94,,Pay BILL-3140 Bright Harbor Media CHK#1011
2026-06-22,1000 Cash,15146.0,,Deposit - Rosewood Retail INV-2230
2026-06-22,1100 Accounts Receivable,,15146.0,Deposit - Rosewood Retail INV-2230
2026-06-22,2000 Accounts Payable,,3973.0,BILL-3135 Stanton Cleaning Crew
2026-06-22,6700 Office Supplies,3973.0,,BILL-3135 Stanton Cleaning Crew
2026-06-22,2000 Accounts Payable,,468.0,BILL-3136 Ridgeline Telecom
2026-06-22,6500 Utilities Expense,468.0,,BILL-3136 Ridgeline Telecom
2026-06-25,1000 Cash,19345.0,,Deposit - Glenrock Solutions INV-2239
2026-06-25,1100 Accounts Receivable,,19345.0,Deposit - Glenrock Solutions INV-2239
2026-06-26,1000 Cash,13241.0,,Deposit - Vesper Technologies INV-2231
2026-06-26,1100 Accounts Receivable,,13241.0,Deposit - Vesper Technologies INV-2231
2026-06-26,1000 Cash,,468.0,Pay BILL-3136 Ridgeline Telecom CHK#1016
2026-06-26,2000 Accounts Payable,468.0,,Pay BILL-3136 Ridgeline Telecom CHK#1016
2026-06-28,1000 Cash,,3973.0,Pay BILL-3135 Stanton Cleaning Crew CHK#1015
2026-06-28,2000 Accounts Payable,3973.0,,Pay BILL-3135 Stanton Cleaning Crew CHK#1015
2026-06-28,1590 Accumulated Depreciation,,1009.36,Monthly depreciation
2026-06-28,6800 Depreciation Expense,1009.36,,Monthly depreciation
