txn_date,gl_account,dr,Credit,description
28-Apr-2026,6400 Insurance Expense,82.0,,Monthly insurance amortization
28-Apr-2026,1590 Accumulated Depreciation,,1889.96,Monthly depreciation
28-Apr-2026,6800 Depreciation Expense,1889.96,,Monthly depreciation
01-May-2026,1100 Accounts Receivable,5939.0,,Invoice INV-2231 - Ivywood Enterprises
01-May-2026,4000 Consulting Revenue,,5939.0,Invoice INV-2231 - Ivywood Enterprises
03-May-2026,1000 Cash,,6146.0,Rent - Harborstone Realty Partners
03-May-2026,6100 Rent Expense,6146.0,,Rent - Harborstone Realty Partners
05-May-2026,1100 Accounts Receivable,12589.0,,Invoice INV-2230 - Dunmore Holdings
05-May-2026,4000 Consulting Revenue,,12589.0,Invoice INV-2230 - Dunmore Holdings
05-May-2026,2000 Accounts Payable,,863.0,BILL-3113 Ridgeline Telecom
05-May-2026,6500 Utilities Expense,863.0,,BILL-3113 Ridgeline Telecom
07-May-2026,1000 Cash,24540.0,,Deposit - Wexford Group INV-2226
07-May-2026,1100 Accounts Receivable,,24540.0,Deposit - Wexford Group INV-2226
07-May-2026,2000 Accounts Payable,,4721.0,BILL-3111 Kite Digital Ads
07-May-2026,6200 Advertising & Marketing,4721.0,,BILL-3111 Kite Digital Ads
11-May-2026,2000 Accounts Payable,,3213.0,BILL-3114 Meridian Legal LLP
11-May-2026,6600 Professional Fees,3213.0,,BILL-3114 Meridian Legal LLP
12-May-2026,1000 Cash,,4721.0,Pay BILL-3111 Kite Digital Ads CHK#1008
12-May-2026,2000 Accounts Payable,4721.0,,Pay BILL-3111 Kite Digital Ads CHK#1008
13-May-2026,1100 Accounts Receivable,7428.0,,Invoice INV-2228 - Dunmore Holdings
13-May-2026,4000 Consulting Revenue,,7428.0,Invoice INV-2228 - Dunmore Holdings
14-May-2026,1100 Accounts Receivable,6364.0,,Invoice INV-2232 - Ferrell Industries
14-May-2026,4000 Consulting Revenue,,6364.0,Invoice INV-2232 - Ferrell Industries
15-May-2026,1000 Cash,,22369.0,Payroll 2026-05/01-05/15
15-May-2026,2300 Payroll Liabilities,,6309.0,Payroll 2026-05/01-05/15
15-May-2026,6000 Salaries Expense,28678.0,,Payroll 2026-05/01-05/15
16-May-2026,1100 Accounts Receivable,11945.0,,Invoice INV-2229 - Ivywood Enterprises
16-May-2026,4000 Consulting Revenue,,11945.0,Invoice INV-2229 - Ivywood Enterprises
18-May-2026,1000 Cash,12810.0,,Deposit - Underhill Logistics INV-2222
18-May-2026,1100 Accounts Receivable,,12810.0,Deposit - Underhill Logistics INV-2222
18-May-2026,1000 Cash,7381.0,,Deposit - Jasper Analytics INV-2224
18-May-2026,1100 Accounts Receivable,,7381.0,Deposit - Jasper Analytics INV-2224
19-May-2026,1000 Cash,6299.0,,Deposit - Underhill Logistics INV-2227
19-May-2026,1100 Accounts Receivable,,6299.0,Deposit - Underhill Logistics INV-2227
20-May-2026,2000 Accounts Payable,,4878.0,BILL-3112 Pillar Accounting Services
20-May-2026,6600 Professional Fees,4878.0,,BILL-3112 Pillar Accounting Services
20-May-2026,2000 Accounts Payable,,3789.0,BILL-3115 Pillar Accounting Services
20-May-2026,6600 Professional Fees,3789.0,,BILL-3115 Pillar Accounting Services
22-May-2026,1000 Cash,12589.0,,Deposit - Dunmore Holdings INV-2230
22-May-2026,1100 Accounts Receivable,,12589.0,Deposit - Dunmore Holdings INV-2230
22-May-2026,1100 Accounts Receivable,20689.0,,Invoice INV-2233 - Ferrell Industries
22-May-2026,4000 Consulting Revenue,,20689.0,Invoice INV-2233 - Ferrell Industries
23-May-2026,1000 Cash,,3789.0,Pay BILL-3115 Pillar Accounting Services CHK#1009
23-May-2026,2000 Accounts Payable,3789.0,,Pay BILL-3115 Pillar Accounting Services CHK#1009
28-May-2026,1000 Cash,,22401.0,Payroll 2026-05/16-05/30
28-May-2026,2300 Payroll Liabilities,,6317.0,Payroll 2026-05/16-05/30
28-May-2026,6000 Salaries Expense,28718.0,,Payroll 2026-05/16-05/30
28-May-2026,1300 Prepaid Insurance,,82.0,Monthly insurance amortization
28-May-2026,6400 Insurance Expense,82.0,,Monthly insurance amortization
28-May-2026,1590 Accumulated Depreciation,,1889.96,Monthly depreciation
28-May-2026,6800 Depreciation Expense,1889.96,,Monthly depreciation
03-Jun-2026,1000 Cash,,6146.0,Rent - Harborstone Realty Partners
03-Jun-2026,6100 Rent Expense,6146.0,,Rent - Harborstone Realty Partners
05-Jun-2026,1100 Accounts Receivable,19811.0,,Invoice INV-2236 - Ivywood Enterprises
05-Jun-2026,4000 Consulting Revenue,,19811.0,Invoice INV-2236 - Ivywood Enterprises
05-Jun-2026,2000 Accounts Payable,,2160.0,BILL-3119 Delta Facility Services
05-Jun-2026,6700 Office Supplies,2160.0,,BILL-3119 Delta Facility Services
06-Jun-2026,1000 Cash,5939.0,,Deposit - Ivywood Enterprises INV-2231
06-Jun-2026,1100 Accounts Receivable,,5939.0,Deposit - Ivywood Enterprises INV-2231
06-Jun-2026,1100 Accounts Receivable,28587.0,,Invoice INV-2235 - Ferrell Industries
06-Jun-2026,4000 Consulting Revenue,,28587.0,Invoice INV-2235 - Ferrell Industries
09-Jun-2026,1000 Cash,,2160.0,Pay BILL-3119 Delta Facility Services CHK#1011
09-Jun-2026,2000 Accounts Payable,2160.0,,Pay BILL-3119 Delta Facility Services CHK#1011
09-Jun-2026,2000 Accounts Payable,,7448.94,BILL-3121 Kite Digital Ads
09-Jun-2026,6200 Advertising & Marketing,7448.94,,BILL-3121 Kite Digital Ads
10-Jun-2026,1000 Cash,6364.0,,Deposit - Ferrell Industries INV-2232
10-Jun-2026,1100 Accounts Receivable,,6364.0,Deposit - Ferrell Industries INV-2232
12-Jun-2026,1000 Cash,,7448.94,Pay BILL-3121 Kite Digital Ads CHK#1012
12-Jun-2026,2000 Accounts Payable,7448.94,,Pay BILL-3121 Kite Digital Ads CHK#1012
12-Jun-2026,1000 Cash,18560.0,,Owner capital contribution
12-Jun-2026,3000 Retained Earnings,,18560.0,Owner capital contribution
13-Jun-2026,2000 Accounts Payable,,3358.0,BILL-3117 Delta Facility Services
13-Jun-2026,6700 Office Supplies,3358.0,,BILL-3117 Delta Facility Services
13-Jun-2026,2000 Accounts Payable,,12346.91,BILL-3120 Meridian Legal LLP
13-Jun-2026,6600 Professional Fees,12346.91,,BILL-3120 Meridian Legal LLP
13-Jun-2026,2000 Accounts Payable,,4425.0,BILL-3122 Trellis Marketing Group
13-Jun-2026,6700 Office Supplies,4425.0,,BILL-3122 Trellis Marketing Group
15-Jun-2026,2000 Accounts Payable,,4084.0,BILL-3118 Kite Digital Ads
15-Jun-2026,6200 Advertising & Marketing,4084.0,,BILL-3118 Kite Digital Ads
15-Jun-2026,1000 Cash,,36558.0,Payroll 2026-06/01-06/15
15-Jun-2026,2300 Payroll Liabilities,,10311.0,Payroll 2026-06/01-06/15
15-Jun-2026,6000 Salaries Expense,46869.0,,Payroll 2026-06/01-06/15
16-Jun-2026,1000 Cash,11945.0,,Deposit - Ivywood Enterprises INV-2229
16-Jun-2026,1100 Accounts Receivable,,11945.0,Deposit - Ivywood Enterprises INV-2229
16-Jun-2026,1000 Cash,,3358.0,Pay BILL-3117 Delta Facility Services CHK#1013
16-Jun-2026,2000 Accounts Payable,3358.0,,Pay BILL-3117 Delta Facility Services CHK#1013
18-Jun-2026,1000 Cash,,12346.91,Pay BILL-3120 Meridian Legal LLP CHK#1014
18-Jun-2026,2000 Accounts Payable,12346.91,,Pay BILL-3120 Meridian Legal LLP CHK#1014
18-Jun-2026,1000 Cash,,4425.0,Pay BILL-3122 Trellis Marketing Group CHK#1015
18-Jun-2026,2000 Accounts Payable,4425.0,,Pay BILL-3122 Trellis Marketing Group CHK#1015
18-Jun-2026,1000 Cash,,4084.0,Pay BILL-3118 Kite Digital Ads CHK#1016
18-Jun-2026,2000 Accounts Payable,4084.0,,Pay BILL-3118 Kite Digital Ads CHK#1016
19-Jun-2026,1000 Cash,7428.0,,Deposit - Dunmore Holdings INV-2228
19-Jun-2026,1100 Accounts Receivable,,7428.0,Deposit - Dunmore Holdings INV-2228
19-Jun-2026,2000 Accounts Payable,,6433.0,BILL-3116 Meridian Legal LLP
19-Jun-2026,6600 Professional Fees,6433.0,,BILL-3116 Meridian Legal LLP
20-Jun-2026,1100 Accounts Receivable,14922.0,,Invoice INV-2237 - Ferrell Industries
20-Jun-2026,4000 Consulting Revenue,,14922.0,Invoice INV-2237 - Ferrell Industries
21-Jun-2026,1100 Accounts Receivable,21845.0,,Invoice INV-2234 - Wexford Group
21-Jun-2026,4100 Retainer Revenue,,21845.0,Invoice INV-2234 - Wexford Group
25-Jun-2026,1000 Cash,,6433.0,Pay BILL-3116 Meridian Legal LLP CHK#1017
25-Jun-2026,2000 Accounts Payable,6433.0,,Pay BILL-3116 Meridian Legal LLP CHK#1017
28-Jun-2026,1000 Cash,,36418.0,Payroll 2026-06/16-06/30
28-Jun-2026,2300 Payroll Liabilities,,10271.0,Payroll 2026-06/16-06/30
28-Jun-2026,6000 Salaries Expense,46689.0,,Payroll 2026-06/16-06/30
28-Jun-2026,1590 Accumulated Depreciation,,1889.96,Monthly depreciation
28-Jun-2026,6800 Depreciation Expense,1889.96,,Monthly depreciation
