posting_date;gl_account;debit;cr;description
28-May-2026;2300 Payroll Liabilities;;18272.0;Payroll 2026-05/16-05/30
28-May-2026;6000 Salaries Expense;83058.0;;Payroll 2026-05/16-05/30
28-May-2026;1300 Prepaid Insurance;;85.0;Monthly insurance amortization
28-May-2026;6400 Insurance Expense;85.0;;Monthly insurance amortization
28-May-2026;1590 Accumulated Depreciation;;1633.38;Monthly depreciation
28-May-2026;6800 Depreciation Expense;1633.38;;Monthly depreciation
02-Jun-2026;2000 Accounts Payable;;8628.0;BILL-3143 CloudSpan Hosting
02-Jun-2026;6450 Software Expense;8628.0;;BILL-3143 CloudSpan Hosting
03-Jun-2026;1100 Accounts Receivable;44225.0;;Invoice INV-2233 - Corliss Marine
03-Jun-2026;4000 Product Sales;;44225.0;Invoice INV-2233 - Corliss Marine
03-Jun-2026;1400 Inventory;;21139.0;COGS - INV-2233
03-Jun-2026;5000 Cost of Goods Sold;21139.0;;COGS - INV-2233
03-Jun-2026;1000 Cash;;14305.0;Rent - Harborstone Realty Partners
03-Jun-2026;6100 Rent Expense;14305.0;;Rent - Harborstone Realty Partners
04-Jun-2026;2000 Accounts Payable;;9972.0;BILL-3142 Ridgeline Telecom
04-Jun-2026;6500 Utilities Expense;9972.0;;BILL-3142 Ridgeline Telecom
05-Jun-2026;1000 Cash;;1128.0;Prepaid software - 12 month license (Quillware Technologies)
05-Jun-2026;1310 Prepaid Software;1128.0;;Prepaid software - 12 month license (Quillware Technologies)
06-Jun-2026;2000 Accounts Payable;;6099.0;BILL-3140 Trellis Marketing Group
06-Jun-2026;6200 Advertising & Marketing;6099.0;;BILL-3140 Trellis Marketing Group
07-Jun-2026;1000 Cash;;9972.0;Pay BILL-3142 Ridgeline Telecom CHK#1009
07-Jun-2026;2000 Accounts Payable;9972.0;;Pay BILL-3142 Ridgeline Telecom CHK#1009
07-Jun-2026;2000 Accounts Payable;;1662.0;BILL-3139 CloudSpan Hosting
07-Jun-2026;6450 Software Expense;1662.0;;BILL-3139 CloudSpan Hosting
08-Jun-2026;1000 Cash;28435.0;;Deposit - Rosewood Retail INV-2227
08-Jun-2026;1100 Accounts Receivable;;28435.0;Deposit - Rosewood Retail INV-2227
08-Jun-2026;1100 Accounts Receivable;44243.0;;Invoice INV-2230 - Wexford Group
08-Jun-2026;4000 Product Sales;;44243.0;Invoice INV-2230 - Wexford Group
08-Jun-2026;1400 Inventory;;20247.0;COGS - INV-2230
08-Jun-2026;5000 Cost of Goods Sold;20247.0;;COGS - INV-2230
08-Jun-2026;1100 Accounts Receivable;47485.0;;Invoice INV-2231 - Corliss Marine
08-Jun-2026;4000 Product Sales;;47485.0;Invoice INV-2231 - Corliss Marine
08-Jun-2026;1400 Inventory;;23120.0;COGS - INV-2231
08-Jun-2026;5000 Cost of Goods Sold;23120.0;;COGS - INV-2231
08-Jun-2026;2000 Accounts Payable;;7505.0;BILL-3138 Meridian Legal LLP
08-Jun-2026;6600 Professional Fees;7505.0;;BILL-3138 Meridian Legal LLP
09-Jun-2026;2000 Accounts Payable;;11007.12;BILL-3144 Pillar Accounting Services
09-Jun-2026;6600 Professional Fees;11007.12;;BILL-3144 Pillar Accounting Services
10-Jun-2026;2000 Accounts Payable;;4453.0;BILL-3141 Inkwell Print Co.
10-Jun-2026;6700 Office Supplies;4453.0;;BILL-3141 Inkwell Print Co.
12-Jun-2026;1000 Cash;;1662.0;Pay BILL-3139 CloudSpan Hosting CHK#1011
12-Jun-2026;2000 Accounts Payable;1662.0;;Pay BILL-3139 CloudSpan Hosting CHK#1011
12-Jun-2026;2000 Accounts Payable;;25457.38;BILL-3145 Trellis Marketing Group
12-Jun-2026;6200 Advertising & Marketing;25457.38;;BILL-3145 Trellis Marketing Group
12-Jun-2026;1000 Cash;10642.0;;Owner capital contribution
12-Jun-2026;3000 Retained Earnings;;10642.0;Owner capital contribution
13-Jun-2026;2000 Accounts Payable;;4608.0;BILL-3146 Bright Harbor Media
13-Jun-2026;6700 Office Supplies;4608.0;;BILL-3146 Bright Harbor Media
14-Jun-2026;1000 Cash;;6099.0;Pay BILL-3140 Trellis Marketing Group CHK#1010
14-Jun-2026;2000 Accounts Payable;6099.0;;Pay BILL-3140 Trellis Marketing Group CHK#1010
14-Jun-2026;1000 Cash;;7505.0;Pay BILL-3138 Meridian Legal LLP CHK#1012
14-Jun-2026;2000 Accounts Payable;7505.0;;Pay BILL-3138 Meridian Legal LLP CHK#1012
15-Jun-2026;1100 Accounts Receivable;16141.0;;Invoice INV-2232 - Rosewood Retail
15-Jun-2026;4000 Product Sales;;16141.0;Invoice INV-2232 - Rosewood Retail
15-Jun-2026;1400 Inventory;;8152.0;COGS - INV-2232
15-Jun-2026;5000 Cost of Goods Sold;8152.0;;COGS - INV-2232
15-Jun-2026;1000 Cash;;44215.0;Payroll 2026-06/01-06/15
15-Jun-2026;2300 Payroll Liabilities;;12470.0;Payroll 2026-06/01-06/15
15-Jun-2026;6000 Salaries Expense;56685.0;;Payroll 2026-06/01-06/15
16-Jun-2026;1000 Cash;;11007.12;Pay BILL-3144 Pillar Accounting Services CHK#1013
16-Jun-2026;2000 Accounts Payable;11007.12;;Pay BILL-3144 Pillar Accounting Services CHK#1013
18-Jun-2026;1000 Cash;20347.0;;Deposit - Dunmore Holdings INV-2224
18-Jun-2026;1100 Accounts Receivable;;20347.0;Deposit - Dunmore Holdings INV-2224
18-Jun-2026;1000 Cash;;4453.0;Pay BILL-3141 Inkwell Print Co. CHK#1014
18-Jun-2026;2000 Accounts Payable;4453.0;;Pay BILL-3141 Inkwell Print Co. CHK#1014
19-Jun-2026;1100 Accounts Receivable;9139.0;;Invoice INV-2229 - Corliss Marine
19-Jun-2026;4100 Shipping Income;;9139.0;Invoice INV-2229 - Corliss Marine
20-Jun-2026;1000 Cash;;4608.0;Pay BILL-3146 Bright Harbor Media CHK#1016
20-Jun-2026;2000 Accounts Payable;4608.0;;Pay BILL-3146 Bright Harbor Media CHK#1016
21-Jun-2026;1000 Cash;23554.0;;Deposit - Wexford Group INV-2228
21-Jun-2026;1100 Accounts Receivable;;23554.0;Deposit - Wexford Group INV-2228
21-Jun-2026;1000 Cash;;25457.38;Pay BILL-3145 Trellis Marketing Group CHK#1015
21-Jun-2026;2000 Accounts Payable;25457.38;;Pay BILL-3145 Trellis Marketing Group CHK#1015
24-Jun-2026;1000 Cash;47485.0;;Deposit - Corliss Marine INV-2231
24-Jun-2026;1100 Accounts Receivable;;47485.0;Deposit - Corliss Marine INV-2231
25-Jun-2026;1000 Cash;13309.0;;Deposit - Rosewood Retail INV-2226
25-Jun-2026;1100 Accounts Receivable;;13309.0;Deposit - Rosewood Retail INV-2226
28-Jun-2026;1300 Prepaid Insurance;;85.0;Monthly insurance amortization
28-Jun-2026;6400 Insurance Expense;85.0;;Monthly insurance amortization
28-Jun-2026;1310 Prepaid Software;;94.0;Monthly amortization - Prepaid software - 12 month license (Quillware Technologies)
28-Jun-2026;6450 Software Expense;94.0;;Monthly amortization - Prepaid software - 12 month license (Quillware Technologies)
