posting_date;account;dr;cr;Memo
2026-04-28;1000 Cash;;50132.0;Payroll 2026-04/16-04/30
2026-04-28;2300 Payroll Liabilities;;14139.0;Payroll 2026-04/16-04/30
2026-04-28;6000 Salaries Expense;64271.0;;Payroll 2026-04/16-04/30
2026-04-28;1300 Prepaid Insurance;;159.0;Monthly insurance amortization
2026-04-28;6400 Insurance Expense;159.0;;Monthly insurance amortization
2026-04-28;1590 Accumulated Depreciation;;2660.68;Monthly depreciation
2026-04-28;6800 Depreciation Expense;2660.68;;Monthly depreciation
2026-05-03;1000 Cash;;12816.0;Rent - Harborstone Realty Partners
2026-05-03;6100 Rent Expense;12816.0;;Rent - Harborstone Realty Partners
2026-05-06;1100 Accounts Receivable;21618.0;;Invoice INV-2234 - Quimby Ventures
2026-05-06;4000 Consulting Revenue;;21618.0;Invoice INV-2234 - Quimby Ventures
2026-05-07;2000 Accounts Payable;;7541.0;BILL-3138 Ridgeline Telecom
2026-05-07;6500 Utilities Expense;7541.0;;BILL-3138 Ridgeline Telecom
2026-05-08;1100 Accounts Receivable;24631.0;;Invoice INV-2232 - Hartwell Group
2026-05-08;4100 Retainer Revenue;;24631.0;Invoice INV-2232 - Hartwell Group
2026-05-11;1000 Cash;6557.0;;Deposit - Ivywood Enterprises INV-2229
2026-05-11;1100 Accounts Receivable;;6557.0;Deposit - Ivywood Enterprises INV-2229
2026-05-12;1100 Accounts Receivable;40190.0;;Invoice INV-2233 - Vesper Technologies
2026-05-12;4000 Consulting Revenue;;40190.0;Invoice INV-2233 - Vesper Technologies
2026-05-14;1000 Cash;;7541.0;Pay BILL-3138 Ridgeline Telecom CHK#1007
2026-05-14;2000 Accounts Payable;7541.0;;Pay BILL-3138 Ridgeline Telecom CHK#1007
2026-05-15;1000 Cash;23414.0;;Deposit - Vesper Technologies INV-2227
2026-05-15;1100 Accounts Receivable;;23414.0;Deposit - Vesper Technologies INV-2227
2026-05-15;2000 Accounts Payable;;3039.0;BILL-3140 Helix IT Solutions
2026-05-15;6450 Software Expense;3039.0;;BILL-3140 Helix IT Solutions
2026-05-15;1000 Cash;;28574.0;Payroll 2026-05/01-05/15
2026-05-15;2300 Payroll Liabilities;;8059.0;Payroll 2026-05/01-05/15
2026-05-15;6000 Salaries Expense;36633.0;;Payroll 2026-05/01-05/15
2026-05-16;1000 Cash;32922.0;;Deposit - Marlowe & Finch INV-2228
2026-05-16;1100 Accounts Receivable;;32922.0;Deposit - Marlowe & Finch INV-2228
2026-05-19;1000 Cash;13017.0;;Deposit - Hartwell Group INV-2230
2026-05-19;1100 Accounts Receivable;;13017.0;Deposit - Hartwell Group INV-2230
2026-05-19;2000 Accounts Payable;;7507.0;BILL-3137 Helix IT Solutions
2026-05-19;6450 Software Expense;7507.0;;BILL-3137 Helix IT Solutions
2026-05-21;1000 Cash;;3039.0;Pay BILL-3140 Helix IT Solutions CHK#1008
2026-05-21;2000 Accounts Payable;3039.0;;Pay BILL-3140 Helix IT Solutions CHK#1008
2026-05-21;2000 Accounts Payable;;2231.0;BILL-3139 Ridgeline Telecom
2026-05-21;6500 Utilities Expense;2231.0;;BILL-3139 Ridgeline Telecom
2026-05-22;1100 Accounts Receivable;29370.0;;Invoice INV-2235 - Tamarack Health
2026-05-22;4000 Consulting Revenue;;29370.0;Invoice INV-2235 - Tamarack Health
2026-05-23;1100 Accounts Receivable;27118.0;;Invoice INV-2231 - Ivywood Enterprises
2026-05-23;4100 Retainer Revenue;;27118.0;Invoice INV-2231 - Ivywood Enterprises
2026-05-23;1000 Cash;;7507.0;Pay BILL-3137 Helix IT Solutions CHK#1009
2026-05-23;2000 Accounts Payable;7507.0;;Pay BILL-3137 Helix IT Solutions CHK#1009
2026-05-26;1000 Cash;;2231.0;Pay BILL-3139 Ridgeline Telecom CHK#1010
2026-05-26;2000 Accounts Payable;2231.0;;Pay BILL-3139 Ridgeline Telecom CHK#1010
2026-05-28;1000 Cash;24631.0;;Deposit - Hartwell Group INV-2232
2026-05-28;1100 Accounts Receivable;;24631.0;Deposit - Hartwell Group INV-2232
2026-05-28;1000 Cash;;28582.0;Payroll 2026-05/16-05/30
2026-05-28;2300 Payroll Liabilities;;8061.0;Payroll 2026-05/16-05/30
2026-05-28;6000 Salaries Expense;36643.0;;Payroll 2026-05/16-05/30
2026-05-28;1300 Prepaid Insurance;;159.0;Monthly insurance amortization
2026-05-28;6400 Insurance Expense;159.0;;Monthly insurance amortization
2026-05-28;1590 Accumulated Depreciation;;2660.68;Monthly depreciation
2026-05-28;6800 Depreciation Expense;2660.68;;Monthly depreciation
2026-06-02;1100 Accounts Receivable;12916.0;;Invoice INV-2240 - Hartwell Group
2026-06-02;4000 Consulting Revenue;;12916.0;Invoice INV-2240 - Hartwell Group
2026-06-03;1000 Cash;21618.0;;Deposit - Quimby Ventures INV-2234
2026-06-03;1100 Accounts Receivable;;21618.0;Deposit - Quimby Ventures INV-2234
2026-06-03;1000 Cash;;12816.0;Rent - Harborstone Realty Partners
2026-06-03;6100 Rent Expense;12816.0;;Rent - Harborstone Realty Partners
2026-06-03;2000 Accounts Payable;;7265.0;BILL-3142 Junction Utility Co-op
2026-06-03;6500 Utilities Expense;7265.0;;BILL-3142 Junction Utility Co-op
2026-06-04;2000 Accounts Payable;;6164.0;BILL-3147 Trellis Marketing Group
2026-06-04;6700 Office Supplies;6164.0;;BILL-3147 Trellis Marketing Group
2026-06-06;2000 Accounts Payable;;751.0;BILL-3141 Pillar Accounting Services
2026-06-06;6600 Professional Fees;751.0;;BILL-3141 Pillar Accounting Services
2026-06-06;2000 Accounts Payable;;2848.0;BILL-3144 Junction Utility Co-op
2026-06-06;6500 Utilities Expense;2848.0;;BILL-3144 Junction Utility Co-op
2026-06-06;2000 Accounts Payable;;25041.97;BILL-3146 Pillar Accounting Services
2026-06-06;6600 Professional Fees;25041.97;;BILL-3146 Pillar Accounting Services
2026-06-07;1000 Cash;;6164.0;Pay BILL-3147 Trellis Marketing Group CHK#1013
2026-06-07;2000 Accounts Payable;6164.0;;Pay BILL-3147 Trellis Marketing Group CHK#1013
2026-06-08;1100 Accounts Receivable;5995.0;;Invoice INV-2239 - Longmont Systems
2026-06-08;4100 Retainer Revenue;;5995.0;Invoice INV-2239 - Longmont Systems
2026-06-08;1100 Accounts Receivable;35053.0;;Invoice INV-2241 - Ivywood Enterprises
2026-06-08;4000 Consulting Revenue;;35053.0;Invoice INV-2241 - Ivywood Enterprises
2026-06-12;1000 Cash;;7265.0;Pay BILL-3142 Junction Utility Co-op CHK#1012
2026-06-12;2000 Accounts Payable;7265.0;;Pay BILL-3142 Junction Utility Co-op CHK#1012
2026-06-12;2000 Accounts Payable;;18489.93;BILL-3145 Trellis Marketing Group
2026-06-12;6200 Advertising & Marketing;18489.93;;BILL-3145 Trellis Marketing Group
2026-06-12;1000 Cash;13557.0;;Owner capital contribution
2026-06-12;3000 Retained Earnings;;13557.0;Owner capital contribution
2026-06-14;1000 Cash;;25041.97;Pay BILL-3146 Pillar Accounting Services CHK#1015
2026-06-14;2000 Accounts Payable;25041.97;;Pay BILL-3146 Pillar Accounting Services CHK#1015
2026-06-15;1000 Cash;;751.0;Pay BILL-3141 Pillar Accounting Services CHK#1014
2026-06-15;2000 Accounts Payable;751.0;;Pay BILL-3141 Pillar Accounting Services CHK#1014
2026-06-15;1000 Cash;;30554.0;Payroll 2026-06/01-06/15
2026-06-15;2300 Payroll Liabilities;;8617.0;Payroll 2026-06/01-06/15
2026-06-15;6000 Salaries Expense;39171.0;;Payroll 2026-06/01-06/15
2026-06-16;1000 Cash;40190.0;;Deposit - Vesper Technologies INV-2233
2026-06-16;1100 Accounts Receivable;;40190.0;Deposit - Vesper Technologies INV-2233
2026-06-16;1000 Cash;;18489.93;Pay BILL-3145 Trellis Marketing Group CHK#1016
2026-06-16;2000 Accounts Payable;18489.93;;Pay BILL-3145 Trellis Marketing Group CHK#1016
2026-06-18;1100 Accounts Receivable;20961.0;;Invoice INV-2236 - Longmont Systems
2026-06-18;4000 Consulting Revenue;;20961.0;Invoice INV-2236 - Longmont Systems
2026-06-20;2000 Accounts Payable;;1450.0;BILL-3143 Kite Digital Ads
2026-06-20;6200 Advertising & Marketing;1450.0;;BILL-3143 Kite Digital Ads
2026-06-21;1000 Cash;27118.0;;Deposit - Ivywood Enterprises INV-2231
2026-06-21;1100 Accounts Receivable;;27118.0;Deposit - Ivywood Enterprises INV-2231
2026-06-22;1100 Accounts Receivable;21456.0;;Invoice INV-2237 - Longmont Systems
2026-06-22;4000 Consulting Revenue;;21456.0;Invoice INV-2237 - Longmont Systems
2026-06-24;1100 Accounts Receivable;39633.0;;Invoice INV-2238 - Quimby Ventures
2026-06-24;4000 Consulting Revenue;;39633.0;Invoice INV-2238 - Quimby Ventures
2026-06-24;1000 Cash;;1450.0;Pay BILL-3143 Kite Digital Ads CHK#1017
2026-06-24;2000 Accounts Payable;1450.0;;Pay BILL-3143 Kite Digital Ads CHK#1017
2026-06-27;1000 Cash;29370.0;;Deposit - Tamarack Health INV-2235
2026-06-27;1100 Accounts Receivable;;29370.0;Deposit - Tamarack Health INV-2235
2026-06-28;1000 Cash;;30530.0;Payroll 2026-06/16-06/30
2026-06-28;2300 Payroll Liabilities;;8611.0;Payroll 2026-06/16-06/30
2026-06-28;6000 Salaries Expense;39141.0;;Payroll 2026-06/16-06/30
