posting_date,gl_account,dr,credit,memo
05/17/2026,2000 Accounts Payable,8848.0,,Pay BILL-3135 CloudSpan Hosting CHK#1008
05/18/2026,1000 Cash,20870.0,,Deposit - Aldergate Insurance INV-2237
05/18/2026,1100 Accounts Receivable,,20870.0,Deposit - Aldergate Insurance INV-2237
05/19/2026,1000 Cash,,9225.0,Pay BILL-3131 Pillar Accounting Services CHK#1009
05/19/2026,2000 Accounts Payable,9225.0,,Pay BILL-3131 Pillar Accounting Services CHK#1009
05/19/2026,2000 Accounts Payable,,9692.0,BILL-3133 Pillar Accounting Services
05/19/2026,6600 Professional Fees,9692.0,,BILL-3133 Pillar Accounting Services
05/22/2026,1100 Accounts Receivable,14603.0,,Invoice INV-2234 - Corliss Marine
05/22/2026,4100 Tooling & Setup Fees,,14603.0,Invoice INV-2234 - Corliss Marine
05/23/2026,1100 Accounts Receivable,32498.0,,Invoice INV-2235 - Glenrock Solutions
05/23/2026,4100 Tooling & Setup Fees,,32498.0,Invoice INV-2235 - Glenrock Solutions
05/23/2026,1000 Cash,,9692.0,Pay BILL-3133 Pillar Accounting Services CHK#1010
05/23/2026,2000 Accounts Payable,9692.0,,Pay BILL-3133 Pillar Accounting Services CHK#1010
05/24/2026,1000 Cash,41726.0,,Deposit - Corliss Marine INV-2228
05/24/2026,1100 Accounts Receivable,,41726.0,Deposit - Corliss Marine INV-2228
05/24/2026,1000 Cash,18454.0,,Deposit - Corliss Marine INV-2230
05/24/2026,1100 Accounts Receivable,,18454.0,Deposit - Corliss Marine INV-2230
05/24/2026,1100 Accounts Receivable,32182.0,,Invoice INV-2238 - Pinehurst Digital
05/24/2026,4000 Product Revenue,,32182.0,Invoice INV-2238 - Pinehurst Digital
05/24/2026,1400 Inventory,,18291.0,COGS - INV-2238
05/24/2026,5000 Cost of Goods Sold,18291.0,,COGS - INV-2238
05/28/2026,1000 Cash,,39819.0,Payroll 2026-05/16-05/30
05/28/2026,2300 Payroll Liabilities,,11230.0,Payroll 2026-05/16-05/30
05/28/2026,6000 Salaries Expense,51049.0,,Payroll 2026-05/16-05/30
05/28/2026,1300 Prepaid Insurance,,127.0,Monthly insurance amortization
05/28/2026,6400 Insurance Expense,127.0,,Monthly insurance amortization
05/28/2026,1590 Accumulated Depreciation,,2377.56,Monthly depreciation
05/28/2026,6800 Depreciation Expense,2377.56,,Monthly depreciation
06/01/2026,1100 Accounts Receivable,42042.0,,Invoice INV-2244 - Quimby Ventures
06/01/2026,4100 Tooling & Setup Fees,,42042.0,Invoice INV-2244 - Quimby Ventures
06/02/2026,1000 Cash,7318.0,,Deposit - Corliss Marine INV-2236
06/02/2026,1100 Accounts Receivable,,7318.0,Deposit - Corliss Marine INV-2236
06/03/2026,1000 Cash,,8971.0,Rent - Harborstone Realty Partners
06/03/2026,6100 Rent Expense,8971.0,,Rent - Harborstone Realty Partners
06/04/2026,2000 Accounts Payable,,8145.0,BILL-3136 Vertex Materials
06/04/2026,5200 Shop Supplies,8145.0,,BILL-3136 Vertex Materials
06/06/2026,1000 Cash,40186.0,,Deposit - Glenrock Solutions INV-2233
06/06/2026,1100 Accounts Receivable,,40186.0,Deposit - Glenrock Solutions INV-2233
06/07/2026,2000 Accounts Payable,,6581.0,BILL-3142 Kite Digital Ads
06/07/2026,6700 Office Supplies,6581.0,,BILL-3142 Kite Digital Ads
06/08/2026,1100 Accounts Receivable,18732.0,,Invoice INV-2245 - Hartwell Group
06/08/2026,4000 Product Revenue,,18732.0,Invoice INV-2245 - Hartwell Group
06/08/2026,1400 Inventory,,10600.0,COGS - INV-2245
06/08/2026,5000 Cost of Goods Sold,10600.0,,COGS - INV-2245
06/08/2026,2000 Accounts Payable,,3546.0,BILL-3137 Pillar Accounting Services
06/08/2026,6600 Professional Fees,3546.0,,BILL-3137 Pillar Accounting Services
06/12/2026,1100 Accounts Receivable,8989.0,,Invoice INV-2240 - Pinehurst Digital
06/12/2026,4000 Product Revenue,,8989.0,Invoice INV-2240 - Pinehurst Digital
06/12/2026,1400 Inventory,,4909.0,COGS - INV-2240
06/12/2026,5000 Cost of Goods Sold,4909.0,,COGS - INV-2240
06/12/2026,1000 Cash,12639.0,,Owner capital contribution
06/12/2026,3000 Retained Earnings,,12639.0,Owner capital contribution
06/13/2026,1000 Cash,42042.0,,Deposit - Quimby Ventures INV-2244
06/13/2026,1100 Accounts Receivable,,42042.0,Deposit - Quimby Ventures INV-2244
06/14/2026,2000 Accounts Payable,,20977.36,BILL-3141 Kite Digital Ads
06/14/2026,6200 Advertising & Marketing,20977.36,,BILL-3141 Kite Digital Ads
06/15/2026,1000 Cash,14603.0,,Deposit - Corliss Marine INV-2234
06/15/2026,1100 Accounts Receivable,,14603.0,Deposit - Corliss Marine INV-2234
06/15/2026,1000 Cash,29273.0,,Deposit - Corliss Marine INV-2239
06/15/2026,1100 Accounts Receivable,,29273.0,Deposit - Corliss Marine INV-2239
06/15/2026,1000 Cash,,35591.0,Payroll 2026-06/01-06/15
06/15/2026,2300 Payroll Liabilities,,10038.0,Payroll 2026-06/01-06/15
06/15/2026,6000 Salaries Expense,45629.0,,Payroll 2026-06/01-06/15
06/16/2026,1000 Cash,,6581.0,Pay BILL-3142 Kite Digital Ads CHK#1012
06/16/2026,2000 Accounts Payable,6581.0,,Pay BILL-3142 Kite Digital Ads CHK#1012
06/17/2026,2000 Accounts Payable,,10280.0,BILL-3139 Ridgeline Telecom
06/17/2026,6500 Utilities Expense,10280.0,,BILL-3139 Ridgeline Telecom
06/17/2026,2000 Accounts Payable,,20172.2,BILL-3140 Pillar Accounting Services
06/17/2026,6600 Professional Fees,20172.2,,BILL-3140 Pillar Accounting Services
06/18/2026,1100 Accounts Receivable,35689.0,,Invoice INV-2242 - Hartwell Group
06/18/2026,4100 Tooling & Setup Fees,,35689.0,Invoice INV-2242 - Hartwell Group
06/18/2026,1100 Accounts Receivable,39437.0,,Invoice INV-2243 - Glenrock Solutions
06/18/2026,4100 Tooling & Setup Fees,,39437.0,Invoice INV-2243 - Glenrock Solutions
06/20/2026,1100 Accounts Receivable,21848.0,,Invoice INV-2241 - Hartwell Group
06/20/2026,4000 Product Revenue,,21848.0,Invoice INV-2241 - Hartwell Group
06/20/2026,1400 Inventory,,12472.0,COGS - INV-2241
06/20/2026,5000 Cost of Goods Sold,12472.0,,COGS - INV-2241
06/21/2026,1000 Cash,,20977.36,Pay BILL-3141 Kite Digital Ads CHK#1013
06/21/2026,2000 Accounts Payable,20977.36,,Pay BILL-3141 Kite Digital Ads CHK#1013
06/22/2026,2000 Accounts Payable,,6775.0,BILL-3138 Delta Facility Services
06/22/2026,6700 Office Supplies,6775.0,,BILL-3138 Delta Facility Services
06/24/2026,1000 Cash,,20172.2,Pay BILL-3140 Pillar Accounting Services CHK#1014
06/24/2026,2000 Accounts Payable,20172.2,,Pay BILL-3140 Pillar Accounting Services CHK#1014
06/28/2026,1300 Prepaid Insurance,,127.0,Monthly insurance amortization
06/28/2026,6400 Insurance Expense,127.0,,Monthly insurance amortization
