Date,Account,dr,credit,description
15-Apr-2026,2300 Payroll Liabilities,,11376.0,Payroll 2026-04/01-04/15
15-Apr-2026,6000 Salaries Expense,51711.0,,Payroll 2026-04/01-04/15
16-Apr-2026,1100 Accounts Receivable,21854.0,,Invoice INV-2226 - Ostrander Co.
16-Apr-2026,4000 Subscription Revenue,,21854.0,Invoice INV-2226 - Ostrander Co.
16-Apr-2026,2000 Accounts Payable,,7610.0,BILL-3133 Uptown Catering Co.
16-Apr-2026,6700 Office Supplies,7610.0,,BILL-3133 Uptown Catering Co.
17-Apr-2026,1000 Cash,,2766.0,Pay BILL-3130 Trellis Marketing Group CHK#1003
17-Apr-2026,2000 Accounts Payable,2766.0,,Pay BILL-3130 Trellis Marketing Group CHK#1003
19-Apr-2026,2000 Accounts Payable,,7349.0,BILL-3132 Pillar Accounting Services
19-Apr-2026,6600 Professional Fees,7349.0,,BILL-3132 Pillar Accounting Services
20-Apr-2026,1000 Cash,22271.0,,Deposit - Jasper Analytics INV-2228
20-Apr-2026,1100 Accounts Receivable,,22271.0,Deposit - Jasper Analytics INV-2228
20-Apr-2026,1100 Accounts Receivable,18357.0,,Invoice INV-2229 - Quimby Ventures
20-Apr-2026,4000 Subscription Revenue,,18357.0,Invoice INV-2229 - Quimby Ventures
22-Apr-2026,2000 Accounts Payable,,3583.0,BILL-3131 Helix IT Solutions
22-Apr-2026,6450 Software Expense,3583.0,,BILL-3131 Helix IT Solutions
26-Apr-2026,1000 Cash,25391.0,,Deposit - Quimby Ventures INV-2225
26-Apr-2026,1100 Accounts Receivable,,25391.0,Deposit - Quimby Ventures INV-2225
27-Apr-2026,1000 Cash,21656.0,,Deposit - Atlas Verde LLC INV-2227
27-Apr-2026,1100 Accounts Receivable,,21656.0,Deposit - Atlas Verde LLC INV-2227
28-Apr-2026,1000 Cash,,40374.0,Payroll 2026-04/16-04/30
28-Apr-2026,2300 Payroll Liabilities,,11387.0,Payroll 2026-04/16-04/30
28-Apr-2026,6000 Salaries Expense,51761.0,,Payroll 2026-04/16-04/30
28-Apr-2026,1300 Prepaid Insurance,,189.0,Monthly insurance amortization
28-Apr-2026,6400 Insurance Expense,189.0,,Monthly insurance amortization
28-Apr-2026,1590 Accumulated Depreciation,,1772.28,Monthly depreciation
28-Apr-2026,6800 Depreciation Expense,1772.28,,Monthly depreciation
01-May-2026,1100 Accounts Receivable,5849.0,,Invoice INV-2234 - Glenrock Solutions
01-May-2026,4000 Subscription Revenue,,5849.0,Invoice INV-2234 - Glenrock Solutions
03-May-2026,1000 Cash,,9462.0,Rent - Amberfield Property Group
03-May-2026,6100 Rent Expense,9462.0,,Rent - Amberfield Property Group
04-May-2026,1100 Accounts Receivable,5529.0,,Invoice INV-2235 - Glenrock Solutions
04-May-2026,4100 Professional Services Revenue,,5529.0,Invoice INV-2235 - Glenrock Solutions
09-May-2026,2000 Accounts Payable,,2632.0,BILL-3138 Pillar Accounting Services
09-May-2026,6600 Professional Fees,2632.0,,BILL-3138 Pillar Accounting Services
10-May-2026,1000 Cash,21854.0,,Deposit - Ostrander Co. INV-2226
10-May-2026,1100 Accounts Receivable,,21854.0,Deposit - Ostrander Co. INV-2226
11-May-2026,2000 Accounts Payable,,5808.0,BILL-3136 Bright Harbor Media
11-May-2026,6200 Advertising & Marketing,5808.0,,BILL-3136 Bright Harbor Media
12-May-2026,1000 Cash,,2632.0,Pay BILL-3138 Pillar Accounting Services CHK#1005
12-May-2026,2000 Accounts Payable,2632.0,,Pay BILL-3138 Pillar Accounting Services CHK#1005
13-May-2026,2000 Accounts Payable,,5729.0,BILL-3137 Stanton Cleaning Crew
13-May-2026,6700 Office Supplies,5729.0,,BILL-3137 Stanton Cleaning Crew
14-May-2026,1000 Cash,5849.0,,Deposit - Glenrock Solutions INV-2234
14-May-2026,1100 Accounts Receivable,,5849.0,Deposit - Glenrock Solutions INV-2234
15-May-2026,1000 Cash,,42797.0,Payroll 2026-05/01-05/15
15-May-2026,2300 Payroll Liabilities,,12070.0,Payroll 2026-05/01-05/15
15-May-2026,6000 Salaries Expense,54867.0,,Payroll 2026-05/01-05/15
16-May-2026,1000 Cash,28378.0,,Deposit - Quimby Ventures INV-2230
16-May-2026,1100 Accounts Receivable,,28378.0,Deposit - Quimby Ventures INV-2230
18-May-2026,1100 Accounts Receivable,27140.0,,Invoice INV-2231 - Ostrander Co.
18-May-2026,4100 Professional Services Revenue,,27140.0,Invoice INV-2231 - Ostrander Co.
18-May-2026,1100 Accounts Receivable,11737.0,,Invoice INV-2236 - Glenrock Solutions
18-May-2026,4000 Subscription Revenue,,11737.0,Invoice INV-2236 - Glenrock Solutions
19-May-2026,1100 Accounts Receivable,5485.0,,Invoice INV-2232 - Atlas Verde LLC
19-May-2026,4000 Subscription Revenue,,5485.0,Invoice INV-2232 - Atlas Verde LLC
20-May-2026,2000 Accounts Payable,,4299.0,BILL-3139 Bright Harbor Media
20-May-2026,6200 Advertising & Marketing,4299.0,,BILL-3139 Bright Harbor Media
23-May-2026,1100 Accounts Receivable,32563.0,,Invoice INV-2233 - Glenrock Solutions
23-May-2026,4000 Subscription Revenue,,32563.0,Invoice INV-2233 - Glenrock Solutions
23-May-2026,1000 Cash,,4299.0,Pay BILL-3139 Bright Harbor Media CHK#1006
23-May-2026,2000 Accounts Payable,4299.0,,Pay BILL-3139 Bright Harbor Media CHK#1006
27-May-2026,1000 Cash,5529.0,,Deposit - Glenrock Solutions INV-2235
27-May-2026,1100 Accounts Receivable,,5529.0,Deposit - Glenrock Solutions INV-2235
28-May-2026,1000 Cash,18357.0,,Deposit - Quimby Ventures INV-2229
28-May-2026,1100 Accounts Receivable,,18357.0,Deposit - Quimby Ventures INV-2229
28-May-2026,1000 Cash,,42750.0,Payroll 2026-05/16-05/30
28-May-2026,2300 Payroll Liabilities,,12057.0,Payroll 2026-05/16-05/30
28-May-2026,6000 Salaries Expense,54807.0,,Payroll 2026-05/16-05/30
28-May-2026,1300 Prepaid Insurance,,189.0,Monthly insurance amortization
28-May-2026,6400 Insurance Expense,189.0,,Monthly insurance amortization
28-May-2026,1590 Accumulated Depreciation,,1772.28,Monthly depreciation
28-May-2026,6800 Depreciation Expense,1772.28,,Monthly depreciation
01-Jun-2026,1100 Accounts Receivable,34082.0,,Invoice INV-2241 - Jasper Analytics
01-Jun-2026,4000 Subscription Revenue,,34082.0,Invoice INV-2241 - Jasper Analytics
03-Jun-2026,1000 Cash,,9462.0,Rent - Amberfield Property Group
03-Jun-2026,6100 Rent Expense,9462.0,,Rent - Amberfield Property Group
04-Jun-2026,2000 Accounts Payable,,8004.0,BILL-3142 Pillar Accounting Services
04-Jun-2026,6600 Professional Fees,8004.0,,BILL-3142 Pillar Accounting Services
04-Jun-2026,2000 Accounts Payable,,3840.0,BILL-3147 Trellis Marketing Group
04-Jun-2026,6700 Office Supplies,3840.0,,BILL-3147 Trellis Marketing Group
06-Jun-2026,2000 Accounts Payable,,14840.2,BILL-3146 Bright Harbor Media
06-Jun-2026,6200 Advertising & Marketing,14840.2,,BILL-3146 Bright Harbor Media
08-Jun-2026,2000 Accounts Payable,,1978.0,BILL-3144 Clearbyte Cloud Services
08-Jun-2026,6300 Software Subscriptions,1978.0,,BILL-3144 Clearbyte Cloud Services
08-Jun-2026,2000 Accounts Payable,,15120.56,BILL-3145 Pillar Accounting Services
08-Jun-2026,6600 Professional Fees,15120.56,,BILL-3145 Pillar Accounting Services
09-Jun-2026,1000 Cash,27140.0,,Deposit - Ostrander Co. INV-2231
09-Jun-2026,1100 Accounts Receivable,,27140.0,Deposit - Ostrander Co. INV-2231
10-Jun-2026,1000 Cash,5485.0,,Deposit - Atlas Verde LLC INV-2232
10-Jun-2026,1100 Accounts Receivable,,5485.0,Deposit - Atlas Verde LLC INV-2232
10-Jun-2026,1100 Accounts Receivable,34390.0,,Invoice INV-2240 - Quimby Ventures
10-Jun-2026,4000 Subscription Revenue,,34390.0,Invoice INV-2240 - Quimby Ventures
10-Jun-2026,1000 Cash,,14840.2,Pay BILL-3146 Bright Harbor Media CHK#1008
10-Jun-2026,2000 Accounts Payable,14840.2,,Pay BILL-3146 Bright Harbor Media CHK#1008
10-Jun-2026,2000 Accounts Payable,,7277.0,BILL-3140 Clearbyte Cloud Services
10-Jun-2026,6300 Software Subscriptions,7277.0,,BILL-3140 Clearbyte Cloud Services
11-Jun-2026,1100 Accounts Receivable,36283.0,,Invoice INV-2238 - Longmont Systems
11-Jun-2026,4100 Professional Services Revenue,,36283.0,Invoice INV-2238 - Longmont Systems
12-Jun-2026,2000 Accounts Payable,,3020.0,BILL-3143 Meridian Legal LLP
12-Jun-2026,6600 Professional Fees,3020.0,,BILL-3143 Meridian Legal LLP
12-Jun-2026,1000 Cash,17847.0,,Owner capital contribution
12-Jun-2026,3000 Retained Earnings,,17847.0,Owner capital contribution
13-Jun-2026,1000 Cash,,7277.0,Pay BILL-3140 Clearbyte Cloud Services CHK#1011
13-Jun-2026,2000 Accounts Payable,7277.0,,Pay BILL-3140 Clearbyte Cloud Services CHK#1011
15-Jun-2026,1000 Cash,,3020.0,Pay BILL-3143 Meridian Legal LLP CHK#1012
15-Jun-2026,2000 Accounts Payable,3020.0,,Pay BILL-3143 Meridian Legal LLP CHK#1012
15-Jun-2026,1000 Cash,,29590.0,Payroll 2026-06/01-06/15
15-Jun-2026,2300 Payroll Liabilities,,8345.0,Payroll 2026-06/01-06/15
15-Jun-2026,6000 Salaries Expense,37935.0,,Payroll 2026-06/01-06/15
16-Jun-2026,1000 Cash,,1978.0,Pay BILL-3144 Clearbyte Cloud Services CHK#1009
16-Jun-2026,2000 Accounts Payable,1978.0,,Pay BILL-3144 Clearbyte Cloud Services CHK#1009
16-Jun-2026,1000 Cash,,15120.56,Pay BILL-3145 Pillar Accounting Services CHK#1010
16-Jun-2026,2000 Accounts Payable,15120.56,,Pay BILL-3145 Pillar Accounting Services CHK#1010
17-Jun-2026,1100 Accounts Receivable,9390.0,,Invoice INV-2239 - Atlas Verde LLC
17-Jun-2026,4000 Subscription Revenue,,9390.0,Invoice INV-2239 - Atlas Verde LLC
19-Jun-2026,2000 Accounts Payable,,5631.0,BILL-3141 Meridian Legal LLP
19-Jun-2026,6600 Professional Fees,5631.0,,BILL-3141 Meridian Legal LLP
21-Jun-2026,1000 Cash,11737.0,,Deposit - Glenrock Solutions INV-2236
21-Jun-2026,1100 Accounts Receivable,,11737.0,Deposit - Glenrock Solutions INV-2236
22-Jun-2026,1100 Accounts Receivable,9057.0,,Invoice INV-2237 - Corliss Marine
22-Jun-2026,4000 Subscription Revenue,,9057.0,Invoice INV-2237 - Corliss Marine
23-Jun-2026,1000 Cash,,5631.0,Pay BILL-3141 Meridian Legal LLP CHK#1013
23-Jun-2026,2000 Accounts Payable,5631.0,,Pay BILL-3141 Meridian Legal LLP CHK#1013
28-Jun-2026,1590 Accumulated Depreciation,,1772.28,Monthly depreciation
28-Jun-2026,6800 Depreciation Expense,1772.28,,Monthly depreciation
