date;gl_account;debit;Credit;description
02-Jun-2026;4100 Shipping Income;;5921.0;Invoice INV-2235 - Dunmore Holdings
03-Jun-2026;1100 Accounts Receivable;28050.0;;Invoice INV-2236 - Dunmore Holdings
03-Jun-2026;4100 Shipping Income;;28050.0;Invoice INV-2236 - Dunmore Holdings
03-Jun-2026;1000 Cash;;7390.0;Rent - Harborstone Realty Partners
03-Jun-2026;6100 Rent Expense;7390.0;;Rent - Harborstone Realty Partners
04-Jun-2026;2000 Accounts Payable;;2327.0;BILL-3145 Pillar Accounting Services
04-Jun-2026;6600 Professional Fees;2327.0;;BILL-3145 Pillar Accounting Services
05-Jun-2026;2000 Accounts Payable;;13417.53;BILL-3148 Willow Creek Packaging
05-Jun-2026;5100 Freight & Shipping;13417.53;;BILL-3148 Willow Creek Packaging
06-Jun-2026;2000 Accounts Payable;;4929.0;BILL-3151 Trellis Marketing Group
06-Jun-2026;6700 Office Supplies;4929.0;;BILL-3151 Trellis Marketing Group
07-Jun-2026;1000 Cash;26110.0;;Deposit - Birchfield Foods INV-2232
07-Jun-2026;1100 Accounts Receivable;;26110.0;Deposit - Birchfield Foods INV-2232
09-Jun-2026;1100 Accounts Receivable;16716.0;;Invoice INV-2237 - Zephyr Dynamics
09-Jun-2026;4100 Shipping Income;;16716.0;Invoice INV-2237 - Zephyr Dynamics
10-Jun-2026;1100 Accounts Receivable;19015.0;;Invoice INV-2234 - Aldergate Insurance
10-Jun-2026;4000 Product Sales;;19015.0;Invoice INV-2234 - Aldergate Insurance
10-Jun-2026;1400 Inventory;;9531.0;COGS - INV-2234
10-Jun-2026;5000 Cost of Goods Sold;9531.0;;COGS - INV-2234
12-Jun-2026;1000 Cash;16433.0;;Owner capital contribution
12-Jun-2026;3000 Retained Earnings;;16433.0;Owner capital contribution
13-Jun-2026;1000 Cash;27563.0;;Deposit - Eastgate Collective INV-2228
13-Jun-2026;1100 Accounts Receivable;;27563.0;Deposit - Eastgate Collective INV-2228
13-Jun-2026;1100 Accounts Receivable;26447.0;;Invoice INV-2238 - Zephyr Dynamics
13-Jun-2026;4000 Product Sales;;26447.0;Invoice INV-2238 - Zephyr Dynamics
13-Jun-2026;1400 Inventory;;13700.0;COGS - INV-2238
13-Jun-2026;5000 Cost of Goods Sold;13700.0;;COGS - INV-2238
13-Jun-2026;1000 Cash;;2327.0;Pay BILL-3145 Pillar Accounting Services CHK#1011
13-Jun-2026;2000 Accounts Payable;2327.0;;Pay BILL-3145 Pillar Accounting Services CHK#1011
13-Jun-2026;2000 Accounts Payable;;1845.0;BILL-3144 CloudSpan Hosting
13-Jun-2026;6450 Software Expense;1845.0;;BILL-3144 CloudSpan Hosting
14-Jun-2026;1000 Cash;13185.0;;Deposit - Zephyr Dynamics INV-2229
14-Jun-2026;1100 Accounts Receivable;;13185.0;Deposit - Zephyr Dynamics INV-2229
14-Jun-2026;1100 Accounts Receivable;23263.0;;Invoice INV-2233 - Silverthorne Media
14-Jun-2026;4000 Product Sales;;23263.0;Invoice INV-2233 - Silverthorne Media
14-Jun-2026;1400 Inventory;;10389.0;COGS - INV-2233
14-Jun-2026;5000 Cost of Goods Sold;10389.0;;COGS - INV-2233
15-Jun-2026;1000 Cash;;4929.0;Pay BILL-3151 Trellis Marketing Group CHK#1012
15-Jun-2026;2000 Accounts Payable;4929.0;;Pay BILL-3151 Trellis Marketing Group CHK#1012
15-Jun-2026;1000 Cash;;42447.0;Payroll 2026-06/01-06/15
15-Jun-2026;2300 Payroll Liabilities;;11972.0;Payroll 2026-06/01-06/15
15-Jun-2026;6000 Salaries Expense;54419.0;;Payroll 2026-06/01-06/15
16-Jun-2026;1000 Cash;8148.0;;Deposit - Birchfield Foods INV-2231
16-Jun-2026;1100 Accounts Receivable;;8148.0;Deposit - Birchfield Foods INV-2231
17-Jun-2026;2000 Accounts Payable;;2622.0;BILL-3146 Uptown Catering Co.
17-Jun-2026;6700 Office Supplies;2622.0;;BILL-3146 Uptown Catering Co.
17-Jun-2026;2000 Accounts Payable;;3375.0;BILL-3147 Zenith Freight Lines
17-Jun-2026;5100 Freight & Shipping;3375.0;;BILL-3147 Zenith Freight Lines
17-Jun-2026;2000 Accounts Payable;;15966.59;BILL-3149 Trellis Marketing Group
17-Jun-2026;6200 Advertising & Marketing;15966.59;;BILL-3149 Trellis Marketing Group
17-Jun-2026;2000 Accounts Payable;;16896.8;BILL-3150 Pillar Accounting Services
17-Jun-2026;6600 Professional Fees;16896.8;;BILL-3150 Pillar Accounting Services
18-Jun-2026;1000 Cash;19970.0;;Deposit - Aldergate Insurance INV-2230
18-Jun-2026;1100 Accounts Receivable;;19970.0;Deposit - Aldergate Insurance INV-2230
19-Jun-2026;1000 Cash;;1845.0;Pay BILL-3144 CloudSpan Hosting CHK#1013
19-Jun-2026;2000 Accounts Payable;1845.0;;Pay BILL-3144 CloudSpan Hosting CHK#1013
20-Jun-2026;1100 Accounts Receivable;30539.0;;Invoice INV-2239 - Aldergate Insurance
20-Jun-2026;4000 Product Sales;;30539.0;Invoice INV-2239 - Aldergate Insurance
20-Jun-2026;1400 Inventory;;17157.0;COGS - INV-2239
20-Jun-2026;5000 Cost of Goods Sold;17157.0;;COGS - INV-2239
20-Jun-2026;1000 Cash;;15966.59;Pay BILL-3149 Trellis Marketing Group CHK#1016
20-Jun-2026;2000 Accounts Payable;15966.59;;Pay BILL-3149 Trellis Marketing Group CHK#1016
21-Jun-2026;1000 Cash;;3375.0;Pay BILL-3147 Zenith Freight Lines CHK#1015
21-Jun-2026;2000 Accounts Payable;3375.0;;Pay BILL-3147 Zenith Freight Lines CHK#1015
22-Jun-2026;1000 Cash;19015.0;;Deposit - Aldergate Insurance INV-2234
22-Jun-2026;1100 Accounts Receivable;;19015.0;Deposit - Aldergate Insurance INV-2234
25-Jun-2026;1000 Cash;28050.0;;Deposit - Dunmore Holdings INV-2236
25-Jun-2026;1100 Accounts Receivable;;28050.0;Deposit - Dunmore Holdings INV-2236
25-Jun-2026;1000 Cash;;2622.0;Pay BILL-3146 Uptown Catering Co. CHK#1014
25-Jun-2026;2000 Accounts Payable;2622.0;;Pay BILL-3146 Uptown Catering Co. CHK#1014
25-Jun-2026;1000 Cash;;16896.8;Pay BILL-3150 Pillar Accounting Services CHK#1017
25-Jun-2026;2000 Accounts Payable;16896.8;;Pay BILL-3150 Pillar Accounting Services CHK#1017
28-Jun-2026;1000 Cash;;42385.0;Payroll 2026-06/16-06/30
28-Jun-2026;2300 Payroll Liabilities;;11954.0;Payroll 2026-06/16-06/30
28-Jun-2026;6000 Salaries Expense;54339.0;;Payroll 2026-06/16-06/30
