Date;gl_account;dr;cr;memo
2026-06-18;2000 Accounts Payable;;10957.31;BILL-3150 Trellis Marketing Group
2026-06-18;6200 Advertising & Marketing;10957.31;;BILL-3150 Trellis Marketing Group
2026-06-20;1000 Cash;12776.0;;Deposit - Corliss Marine INV-2243
2026-06-20;1100 Accounts Receivable;;12776.0;Deposit - Corliss Marine INV-2243
2026-06-20;2000 Accounts Payable;;5602.0;BILL-3146 Ridgeline Telecom
2026-06-20;6500 Utilities Expense;5602.0;;BILL-3146 Ridgeline Telecom
2026-06-22;1000 Cash;;9821.81;Pay BILL-3149 Meridian Legal LLP CHK#1012
2026-06-22;2000 Accounts Payable;9821.81;;Pay BILL-3149 Meridian Legal LLP CHK#1012
2026-06-24;1000 Cash;;5602.0;Pay BILL-3146 Ridgeline Telecom CHK#1014
2026-06-24;2000 Accounts Payable;5602.0;;Pay BILL-3146 Ridgeline Telecom CHK#1014
2026-06-25;1000 Cash;;10957.31;Pay BILL-3150 Trellis Marketing Group CHK#1013
2026-06-25;2000 Accounts Payable;10957.31;;Pay BILL-3150 Trellis Marketing Group CHK#1013
2026-06-26;1000 Cash;14415.0;;Deposit - Vesper Technologies INV-2254
2026-06-26;1100 Accounts Receivable;;14415.0;Deposit - Vesper Technologies INV-2254
2026-06-26;1000 Cash;6618.0;;Deposit - Corliss Marine INV-2255
2026-06-26;1100 Accounts Receivable;;6618.0;Deposit - Corliss Marine INV-2255
2026-06-28;1590 Accumulated Depreciation;;1707.8;Monthly depreciation
2026-06-28;6800 Depreciation Expense;1707.8;;Monthly depreciation
