date;Account;Debit;Credit;description
2026-06-07;1000 Cash;;7203.0;Pay BILL-3134 Kite Digital Ads CHK#1011
2026-06-07;2000 Accounts Payable;7203.0;;Pay BILL-3134 Kite Digital Ads CHK#1011
2026-06-08;1000 Cash;32439.0;;Deposit - Quimby Ventures INV-2212
2026-06-08;1100 Accounts Receivable;;32439.0;Deposit - Quimby Ventures INV-2212
2026-06-08;1100 Accounts Receivable;32368.0;;Invoice INV-2216 - Birchfield Foods
2026-06-08;4000 Product Sales;;32368.0;Invoice INV-2216 - Birchfield Foods
2026-06-08;1400 Inventory;;15005.0;COGS - INV-2216
2026-06-08;5000 Cost of Goods Sold;15005.0;;COGS - INV-2216
2026-06-08;2000 Accounts Payable;;5377.0;BILL-3140 Trellis Marketing Group
2026-06-08;6700 Office Supplies;5377.0;;BILL-3140 Trellis Marketing Group
2026-06-09;2000 Accounts Payable;;23909.92;BILL-3137 Trellis Marketing Group
2026-06-09;6200 Advertising & Marketing;23909.92;;BILL-3137 Trellis Marketing Group
2026-06-10;1100 Accounts Receivable;35523.0;;Invoice INV-2220 - Hartwell Group
2026-06-10;4100 Shipping Income;;35523.0;Invoice INV-2220 - Hartwell Group
2026-06-12;1000 Cash;35680.0;;Deposit - Glenrock Solutions INV-2209
2026-06-12;1100 Accounts Receivable;;35680.0;Deposit - Glenrock Solutions INV-2209
2026-06-12;1000 Cash;;23909.92;Pay BILL-3137 Trellis Marketing Group CHK#1014
2026-06-12;2000 Accounts Payable;23909.92;;Pay BILL-3137 Trellis Marketing Group CHK#1014
2026-06-12;1000 Cash;9377.0;;Owner capital contribution
2026-06-12;3000 Retained Earnings;;9377.0;Owner capital contribution
2026-06-13;1000 Cash;24296.0;;Deposit - Dunmore Holdings INV-2214
2026-06-13;1100 Accounts Receivable;;24296.0;Deposit - Dunmore Holdings INV-2214
2026-06-13;1000 Cash;;17472.96;Pay BILL-3138 Pillar Accounting Services CHK#1012
2026-06-13;2000 Accounts Payable;17472.96;;Pay BILL-3138 Pillar Accounting Services CHK#1012
2026-06-15;1000 Cash;41793.0;;Deposit - Quimby Ventures INV-2211
2026-06-15;1100 Accounts Receivable;;41793.0;Deposit - Quimby Ventures INV-2211
2026-06-15;1000 Cash;;12988.69;Pay BILL-3139 Zenith Freight Lines CHK#1013
2026-06-15;2000 Accounts Payable;12988.69;;Pay BILL-3139 Zenith Freight Lines CHK#1013
2026-06-15;2000 Accounts Payable;;9419.0;BILL-3136 Junction Utility Co-op
2026-06-15;6500 Utilities Expense;9419.0;;BILL-3136 Junction Utility Co-op
2026-06-15;1000 Cash;;46649.0;Payroll 2026-06/01-06/15
2026-06-15;2300 Payroll Liabilities;;13157.0;Payroll 2026-06/01-06/15
2026-06-15;6000 Salaries Expense;59806.0;;Payroll 2026-06/01-06/15
2026-06-18;1100 Accounts Receivable;32758.0;;Invoice INV-2218 - Hartwell Group
2026-06-18;4000 Product Sales;;32758.0;Invoice INV-2218 - Hartwell Group
2026-06-18;1400 Inventory;;17661.0;COGS - INV-2218
2026-06-18;5000 Cost of Goods Sold;17661.0;;COGS - INV-2218
2026-06-19;1100 Accounts Receivable;26770.0;;Invoice INV-2219 - Yardley Supply
2026-06-19;4100 Shipping Income;;26770.0;Invoice INV-2219 - Yardley Supply
2026-06-19;1000 Cash;;9419.0;Pay BILL-3136 Junction Utility Co-op CHK#1015
2026-06-19;2000 Accounts Payable;9419.0;;Pay BILL-3136 Junction Utility Co-op CHK#1015
2026-06-20;1000 Cash;44228.0;;Deposit - Yardley Supply INV-2210
2026-06-20;1100 Accounts Receivable;;44228.0;Deposit - Yardley Supply INV-2210
2026-06-20;2000 Accounts Payable;;7979.0;BILL-3133 Kite Digital Ads
2026-06-20;6200 Advertising & Marketing;7979.0;;BILL-3133 Kite Digital Ads
2026-06-22;2000 Accounts Payable;;3432.0;BILL-3135 CloudSpan Hosting
2026-06-22;6450 Software Expense;3432.0;;BILL-3135 CloudSpan Hosting
2026-06-27;1000 Cash;;7979.0;Pay BILL-3133 Kite Digital Ads CHK#1016
2026-06-27;2000 Accounts Payable;7979.0;;Pay BILL-3133 Kite Digital Ads CHK#1016
2026-06-27;1000 Cash;;3432.0;Pay BILL-3135 CloudSpan Hosting CHK#1017
2026-06-27;2000 Accounts Payable;3432.0;;Pay BILL-3135 CloudSpan Hosting CHK#1017
2026-06-28;1590 Accumulated Depreciation;;1094.76;Monthly depreciation
2026-06-28;6800 Depreciation Expense;1094.76;;Monthly depreciation
