Date;gl_account;Debit;cr;Memo
2026-05-28;1100 Accounts Receivable;;34357.0;Deposit - Hartwell Group INV-2207
2026-05-28;1000 Cash;;5381.0;Pay BILL-3129 Stanton Cleaning Crew CHK#1008
2026-05-28;2000 Accounts Payable;5381.0;;Pay BILL-3129 Stanton Cleaning Crew CHK#1008
2026-05-28;1000 Cash;;5878.0;Pay BILL-3127 Helix IT Solutions CHK#1009
2026-05-28;2000 Accounts Payable;5878.0;;Pay BILL-3127 Helix IT Solutions CHK#1009
2026-05-28;1000 Cash;;53419.0;Payroll 2026-05/16-05/30
2026-05-28;2300 Payroll Liabilities;;15066.0;Payroll 2026-05/16-05/30
2026-05-28;6000 Salaries Expense;68485.0;;Payroll 2026-05/16-05/30
2026-05-28;1300 Prepaid Insurance;;103.0;Monthly insurance amortization
2026-05-28;6400 Insurance Expense;103.0;;Monthly insurance amortization
2026-05-28;1590 Accumulated Depreciation;;1525.28;Monthly depreciation
2026-05-28;6800 Depreciation Expense;1525.28;;Monthly depreciation
2026-06-02;1000 Cash;15326.0;;Deposit - Brockman & Hale INV-2214
2026-06-02;1100 Accounts Receivable;;15326.0;Deposit - Brockman & Hale INV-2214
2026-06-03;1000 Cash;;7287.0;Rent - Amberfield Property Group
2026-06-03;6100 Rent Expense;7287.0;;Rent - Amberfield Property Group
2026-06-04;2000 Accounts Payable;;5892.0;BILL-3131 Firstlane Logistics
2026-06-04;5100 Freight & Shipping;5892.0;;BILL-3131 Firstlane Logistics
2026-06-05;2000 Accounts Payable;;3101.0;BILL-3138 Bright Harbor Media
2026-06-05;6700 Office Supplies;3101.0;;BILL-3138 Bright Harbor Media
2026-06-09;1000 Cash;;3101.0;Pay BILL-3138 Bright Harbor Media CHK#1011
2026-06-09;2000 Accounts Payable;3101.0;;Pay BILL-3138 Bright Harbor Media CHK#1011
2026-06-10;1100 Accounts Receivable;31306.0;;Invoice INV-2220 - Eastgate Collective
2026-06-10;4000 Product Sales;;31306.0;Invoice INV-2220 - Eastgate Collective
2026-06-10;1400 Inventory;;17378.0;COGS - INV-2220
2026-06-10;5000 Cost of Goods Sold;17378.0;;COGS - INV-2220
2026-06-12;1000 Cash;8497.0;;Owner capital contribution
2026-06-12;3000 Retained Earnings;;8497.0;Owner capital contribution
2026-06-13;1000 Cash;16779.0;;Deposit - Brockman & Hale INV-2218
2026-06-13;1100 Accounts Receivable;;16779.0;Deposit - Brockman & Hale INV-2218
2026-06-14;2000 Accounts Payable;;8079.0;BILL-3133 Meridian Legal LLP
2026-06-14;6600 Professional Fees;8079.0;;BILL-3133 Meridian Legal LLP
2026-06-14;2000 Accounts Payable;;6575.0;BILL-3134 Uptown Catering Co.
2026-06-14;6700 Office Supplies;6575.0;;BILL-3134 Uptown Catering Co.
2026-06-14;2000 Accounts Payable;;21887.11;BILL-3137 Quicksilver Couriers
2026-06-14;5100 Freight & Shipping;21887.11;;BILL-3137 Quicksilver Couriers
2026-06-15;1000 Cash;22556.0;;Deposit - Zephyr Dynamics INV-2217
2026-06-15;1100 Accounts Receivable;;22556.0;Deposit - Zephyr Dynamics INV-2217
2026-06-15;2000 Accounts Payable;;8744.22;BILL-3136 Bright Harbor Media
2026-06-15;6200 Advertising & Marketing;8744.22;;BILL-3136 Bright Harbor Media
2026-06-15;1000 Cash;;52336.0;Payroll 2026-06/01-06/15
2026-06-15;2300 Payroll Liabilities;;14761.0;Payroll 2026-06/01-06/15
2026-06-15;6000 Salaries Expense;67097.0;;Payroll 2026-06/01-06/15
2026-06-16;1100 Accounts Receivable;24528.0;;Invoice INV-2221 - Ferrell Industries
2026-06-16;4000 Product Sales;;24528.0;Invoice INV-2221 - Ferrell Industries
2026-06-16;1400 Inventory;;13480.0;COGS - INV-2221
2026-06-16;5000 Cost of Goods Sold;13480.0;;COGS - INV-2221
2026-06-16;2000 Accounts Payable;;2796.0;BILL-3132 CloudSpan Hosting
2026-06-16;6450 Software Expense;2796.0;;BILL-3132 CloudSpan Hosting
2026-06-17;2000 Accounts Payable;;6145.0;BILL-3135 CloudSpan Hosting
2026-06-17;6450 Software Expense;6145.0;;BILL-3135 CloudSpan Hosting
2026-06-18;1000 Cash;;8079.0;Pay BILL-3133 Meridian Legal LLP CHK#1012
2026-06-18;2000 Accounts Payable;8079.0;;Pay BILL-3133 Meridian Legal LLP CHK#1012
2026-06-18;1000 Cash;;21887.11;Pay BILL-3137 Quicksilver Couriers CHK#1014
2026-06-18;2000 Accounts Payable;21887.11;;Pay BILL-3137 Quicksilver Couriers CHK#1014
2026-06-19;1100 Accounts Receivable;33548.0;;Invoice INV-2222 - Nordica Labs
2026-06-19;4100 Shipping Income;;33548.0;Invoice INV-2222 - Nordica Labs
2026-06-19;1000 Cash;;6575.0;Pay BILL-3134 Uptown Catering Co. CHK#1013
2026-06-19;2000 Accounts Payable;6575.0;;Pay BILL-3134 Uptown Catering Co. CHK#1013
2026-06-19;1000 Cash;;8744.22;Pay BILL-3136 Bright Harbor Media CHK#1015
2026-06-19;2000 Accounts Payable;8744.22;;Pay BILL-3136 Bright Harbor Media CHK#1015
2026-06-20;1100 Accounts Receivable;14965.0;;Invoice INV-2223 - Kelso Brands
2026-06-20;4100 Shipping Income;;14965.0;Invoice INV-2223 - Kelso Brands
2026-06-21;1000 Cash;;2796.0;Pay BILL-3132 CloudSpan Hosting CHK#1016
2026-06-21;2000 Accounts Payable;2796.0;;Pay BILL-3132 CloudSpan Hosting CHK#1016
2026-06-22;1100 Accounts Receivable;26721.0;;Invoice INV-2224 - Ivywood Enterprises
2026-06-22;4000 Product Sales;;26721.0;Invoice INV-2224 - Ivywood Enterprises
2026-06-22;1400 Inventory;;13793.0;COGS - INV-2224
2026-06-22;5000 Cost of Goods Sold;13793.0;;COGS - INV-2224
2026-06-24;1100 Accounts Receivable;12531.0;;Invoice INV-2219 - Zephyr Dynamics
2026-06-24;4000 Product Sales;;12531.0;Invoice INV-2219 - Zephyr Dynamics
2026-06-24;1400 Inventory;;5704.0;COGS - INV-2219
2026-06-24;5000 Cost of Goods Sold;5704.0;;COGS - INV-2219
2026-06-26;1000 Cash;;6145.0;Pay BILL-3135 CloudSpan Hosting CHK#1017
2026-06-26;2000 Accounts Payable;6145.0;;Pay BILL-3135 CloudSpan Hosting CHK#1017
2026-06-28;1000 Cash;30085.0;;Deposit - Ferrell Industries INV-2215
2026-06-28;1100 Accounts Receivable;;30085.0;Deposit - Ferrell Industries INV-2215
