date,account,Debit,credit,Memo
2026-05-10,6200 Advertising & Marketing,8292.0,,BILL-3132 Trellis Marketing Group
2026-05-11,1000 Cash,16227.0,,Deposit - Brockman & Hale INV-2238
2026-05-11,1100 Accounts Receivable,,16227.0,Deposit - Brockman & Hale INV-2238
2026-05-11,1100 Accounts Receivable,22180.0,,Invoice INV-2249 - Glenrock Solutions
2026-05-11,4000 Subscription Revenue,,22180.0,Invoice INV-2249 - Glenrock Solutions
2026-05-13,1100 Accounts Receivable,15742.0,,Invoice INV-2247 - Glenrock Solutions
2026-05-13,4100 Professional Services Revenue,,15742.0,Invoice INV-2247 - Glenrock Solutions
2026-05-15,1000 Cash,,8292.0,Pay BILL-3132 Trellis Marketing Group CHK#1008
2026-05-15,2000 Accounts Payable,8292.0,,Pay BILL-3132 Trellis Marketing Group CHK#1008
2026-05-15,1000 Cash,,44170.0,Payroll 2026-05/01-05/15
2026-05-15,2300 Payroll Liabilities,,12458.0,Payroll 2026-05/01-05/15
2026-05-15,6000 Salaries Expense,56628.0,,Payroll 2026-05/01-05/15
2026-05-16,1000 Cash,,1613.0,Pay BILL-3135 Pillar Accounting Services CHK#1006
2026-05-16,2000 Accounts Payable,1613.0,,Pay BILL-3135 Pillar Accounting Services CHK#1006
2026-05-17,1100 Accounts Receivable,42545.0,,Invoice INV-2246 - Kelso Brands
2026-05-17,4000 Subscription Revenue,,42545.0,Invoice INV-2246 - Kelso Brands
2026-05-17,1000 Cash,,8557.0,Pay BILL-3134 Helix IT Solutions CHK#1007
2026-05-17,2000 Accounts Payable,8557.0,,Pay BILL-3134 Helix IT Solutions CHK#1007
2026-05-18,1100 Accounts Receivable,8993.0,,Invoice INV-2244 - Ostrander Co.
2026-05-18,4000 Subscription Revenue,,8993.0,Invoice INV-2244 - Ostrander Co.
2026-05-19,1000 Cash,27389.0,,Deposit - Kelso Brands INV-2237
2026-05-19,1100 Accounts Receivable,,27389.0,Deposit - Kelso Brands INV-2237
2026-05-20,1000 Cash,33073.0,,Deposit - Atlas Verde LLC INV-2245
2026-05-20,1100 Accounts Receivable,,33073.0,Deposit - Atlas Verde LLC INV-2245
2026-05-21,1000 Cash,20989.0,,Deposit - Underhill Logistics INV-2241
2026-05-21,1100 Accounts Receivable,,20989.0,Deposit - Underhill Logistics INV-2241
2026-05-24,1100 Accounts Receivable,39899.0,,Invoice INV-2248 - Brockman & Hale
2026-05-24,4100 Professional Services Revenue,,39899.0,Invoice INV-2248 - Brockman & Hale
2026-05-28,1000 Cash,,44155.0,Payroll 2026-05/16-05/30
2026-05-28,2300 Payroll Liabilities,,12453.0,Payroll 2026-05/16-05/30
2026-05-28,6000 Salaries Expense,56608.0,,Payroll 2026-05/16-05/30
2026-05-28,1300 Prepaid Insurance,,127.0,Monthly insurance amortization
2026-05-28,6400 Insurance Expense,127.0,,Monthly insurance amortization
2026-05-28,1590 Accumulated Depreciation,,2843.1,Monthly depreciation
2026-05-28,6800 Depreciation Expense,2843.1,,Monthly depreciation
2026-06-01,1100 Accounts Receivable,16281.0,,Invoice INV-2251 - Brockman & Hale
2026-06-01,4100 Professional Services Revenue,,16281.0,Invoice INV-2251 - Brockman & Hale
2026-06-02,1000 Cash,15742.0,,Deposit - Glenrock Solutions INV-2247
2026-06-02,1100 Accounts Receivable,,15742.0,Deposit - Glenrock Solutions INV-2247
2026-06-02,2000 Accounts Payable,,9671.0,BILL-3140 Meridian Legal LLP
2026-06-02,6600 Professional Fees,9671.0,,BILL-3140 Meridian Legal LLP
2026-06-03,1000 Cash,,13542.0,Rent - Amberfield Property Group
2026-06-03,6100 Rent Expense,13542.0,,Rent - Amberfield Property Group
2026-06-05,1000 Cash,24368.0,,Deposit - Brockman & Hale INV-2243
2026-06-05,1100 Accounts Receivable,,24368.0,Deposit - Brockman & Hale INV-2243
2026-06-05,1000 Cash,,9671.0,Pay BILL-3140 Meridian Legal LLP CHK#1010
2026-06-05,2000 Accounts Payable,9671.0,,Pay BILL-3140 Meridian Legal LLP CHK#1010
2026-06-06,1000 Cash,42545.0,,Deposit - Kelso Brands INV-2246
2026-06-06,1100 Accounts Receivable,,42545.0,Deposit - Kelso Brands INV-2246
2026-06-06,1100 Accounts Receivable,12811.0,,Invoice INV-2254 - Brockman & Hale
2026-06-06,4000 Subscription Revenue,,12811.0,Invoice INV-2254 - Brockman & Hale
2026-06-07,1000 Cash,8993.0,,Deposit - Ostrander Co. INV-2244
2026-06-07,1100 Accounts Receivable,,8993.0,Deposit - Ostrander Co. INV-2244
2026-06-09,1100 Accounts Receivable,28721.0,,Invoice INV-2252 - Underhill Logistics
2026-06-09,4000 Subscription Revenue,,28721.0,Invoice INV-2252 - Underhill Logistics
2026-06-09,2000 Accounts Payable,,9907.0,BILL-3138 Stackline SaaS Tools
2026-06-09,6300 Software Subscriptions,9907.0,,BILL-3138 Stackline SaaS Tools
2026-06-10,2000 Accounts Payable,,8911.0,BILL-3137 Helix IT Solutions
2026-06-10,6450 Software Expense,8911.0,,BILL-3137 Helix IT Solutions
2026-06-10,2000 Accounts Payable,,4246.0,BILL-3143 Trellis Marketing Group
2026-06-10,6700 Office Supplies,4246.0,,BILL-3143 Trellis Marketing Group
2026-06-11,2000 Accounts Payable,,13971.55,BILL-3142 Bright Harbor Media
2026-06-11,6200 Advertising & Marketing,13971.55,,BILL-3142 Bright Harbor Media
2026-06-12,1000 Cash,39899.0,,Deposit - Brockman & Hale INV-2248
2026-06-12,1100 Accounts Receivable,,39899.0,Deposit - Brockman & Hale INV-2248
2026-06-12,1000 Cash,16952.0,,Owner capital contribution
2026-06-12,3000 Retained Earnings,,16952.0,Owner capital contribution
2026-06-13,1000 Cash,22180.0,,Deposit - Glenrock Solutions INV-2249
2026-06-13,1100 Accounts Receivable,,22180.0,Deposit - Glenrock Solutions INV-2249
2026-06-14,2000 Accounts Payable,,25177.96,BILL-3141 Meridian Legal LLP
2026-06-14,6600 Professional Fees,25177.96,,BILL-3141 Meridian Legal LLP
2026-06-15,2000 Accounts Payable,,1990.0,BILL-3136 Meridian Legal LLP
2026-06-15,6600 Professional Fees,1990.0,,BILL-3136 Meridian Legal LLP
2026-06-15,1000 Cash,,36180.0,Payroll 2026-06/01-06/15
2026-06-15,2300 Payroll Liabilities,,10204.0,Payroll 2026-06/01-06/15
2026-06-15,6000 Salaries Expense,46384.0,,Payroll 2026-06/01-06/15
2026-06-17,1000 Cash,,9907.0,Pay BILL-3138 Stackline SaaS Tools CHK#1011
2026-06-17,2000 Accounts Payable,9907.0,,Pay BILL-3138 Stackline SaaS Tools CHK#1011
2026-06-18,1100 Accounts Receivable,10110.0,,Invoice INV-2250 - Kelso Brands
2026-06-18,4000 Subscription Revenue,,10110.0,Invoice INV-2250 - Kelso Brands
2026-06-18,1100 Accounts Receivable,9553.0,,Invoice INV-2253 - Glenrock Solutions
2026-06-18,4000 Subscription Revenue,,9553.0,Invoice INV-2253 - Glenrock Solutions
2026-06-18,2000 Accounts Payable,,6108.0,BILL-3139 Meridian Legal LLP
2026-06-18,6600 Professional Fees,6108.0,,BILL-3139 Meridian Legal LLP
2026-06-19,1000 Cash,,8911.0,Pay BILL-3137 Helix IT Solutions CHK#1012
2026-06-19,2000 Accounts Payable,8911.0,,Pay BILL-3137 Helix IT Solutions CHK#1012
2026-06-19,1000 Cash,,1990.0,Pay BILL-3136 Meridian Legal LLP CHK#1014
2026-06-19,2000 Accounts Payable,1990.0,,Pay BILL-3136 Meridian Legal LLP CHK#1014
2026-06-20,1000 Cash,,13971.55,Pay BILL-3142 Bright Harbor Media CHK#1013
2026-06-20,2000 Accounts Payable,13971.55,,Pay BILL-3142 Bright Harbor Media CHK#1013
2026-06-25,1000 Cash,,6108.0,Pay BILL-3139 Meridian Legal LLP CHK#1015
2026-06-25,2000 Accounts Payable,6108.0,,Pay BILL-3139 Meridian Legal LLP CHK#1015
2026-06-28,1300 Prepaid Insurance,,127.0,Monthly insurance amortization
2026-06-28,6400 Insurance Expense,127.0,,Monthly insurance amortization
