txn_date;Account;Debit;Credit;description
06/16/2026;1000 Cash;24959.0;;Deposit - Longmont Systems INV-2248
06/16/2026;1100 Accounts Receivable;;24959.0;Deposit - Longmont Systems INV-2248
06/16/2026;1000 Cash;;10941.19;Pay BILL-3119 Quicksilver Couriers CHK#1015
06/16/2026;2000 Accounts Payable;10941.19;;Pay BILL-3119 Quicksilver Couriers CHK#1015
06/16/2026;2000 Accounts Payable;;6083.0;BILL-3118 Trellis Marketing Group
06/16/2026;6200 Advertising & Marketing;6083.0;;BILL-3118 Trellis Marketing Group
06/17/2026;1100 Accounts Receivable;26707.0;;Invoice INV-2254 - Ivywood Enterprises
06/17/2026;4000 Wholesale Sales;;26707.0;Invoice INV-2254 - Ivywood Enterprises
06/17/2026;1400 Inventory;;14813.0;COGS - INV-2254
06/17/2026;5000 Cost of Goods Sold;14813.0;;COGS - INV-2254
06/18/2026;1000 Cash;21201.0;;Deposit - Vesper Technologies INV-2245
06/18/2026;1100 Accounts Receivable;;21201.0;Deposit - Vesper Technologies INV-2245
06/18/2026;1000 Cash;12590.0;;Deposit - Hartwell Group INV-2249
06/18/2026;1100 Accounts Receivable;;12590.0;Deposit - Hartwell Group INV-2249
06/19/2026;1100 Accounts Receivable;16585.0;;Invoice INV-2253 - Brockman & Hale
06/19/2026;4000 Wholesale Sales;;16585.0;Invoice INV-2253 - Brockman & Hale
06/19/2026;1400 Inventory;;8942.0;COGS - INV-2253
06/19/2026;5000 Cost of Goods Sold;8942.0;;COGS - INV-2253
06/19/2026;1000 Cash;;3128.0;Pay BILL-3115 Lumen Office Supply CHK#1014
06/19/2026;2000 Accounts Payable;3128.0;;Pay BILL-3115 Lumen Office Supply CHK#1014
06/20/2026;1100 Accounts Receivable;28888.0;;Invoice INV-2252 - Vesper Technologies
06/20/2026;4000 Wholesale Sales;;28888.0;Invoice INV-2252 - Vesper Technologies
06/20/2026;1400 Inventory;;14275.0;COGS - INV-2252
06/20/2026;5000 Cost of Goods Sold;14275.0;;COGS - INV-2252
06/28/2026;1000 Cash;34203.0;;Deposit - Hartwell Group INV-2250
06/28/2026;1100 Accounts Receivable;;34203.0;Deposit - Hartwell Group INV-2250
06/28/2026;1000 Cash;;54546.0;Payroll 2026-06/16-06/30
06/28/2026;2300 Payroll Liabilities;;15384.0;Payroll 2026-06/16-06/30
06/28/2026;6000 Salaries Expense;69930.0;;Payroll 2026-06/16-06/30
06/28/2026;1590 Accumulated Depreciation;;2290.16;Monthly depreciation
06/28/2026;6800 Depreciation Expense;2290.16;;Monthly depreciation
