txn_date;Account;dr;credit;Memo
2026-04-28;6000 Salaries Expense;39629.0;;Payroll 2026-04/16-04/30
2026-04-28;1300 Prepaid Insurance;;82.0;Monthly insurance amortization
2026-04-28;6400 Insurance Expense;82.0;;Monthly insurance amortization
2026-04-28;1590 Accumulated Depreciation;;1369.23;Monthly depreciation
2026-04-28;6800 Depreciation Expense;1369.23;;Monthly depreciation
2026-05-03;1000 Cash;;11986.0;Rent - Grandview Properties LLC
2026-05-03;6100 Rent Expense;11986.0;;Rent - Grandview Properties LLC
2026-05-05;1100 Accounts Receivable;7922.0;;Invoice INV-2239 - Crestline Partners
2026-05-05;4000 Subscription Revenue;;7922.0;Invoice INV-2239 - Crestline Partners
2026-05-05;2000 Accounts Payable;;4712.0;BILL-3129 Helix IT Solutions
2026-05-05;6450 Software Expense;4712.0;;BILL-3129 Helix IT Solutions
2026-05-06;1000 Cash;18565.0;;Deposit - Pinehurst Digital INV-2236
2026-05-06;1100 Accounts Receivable;;18565.0;Deposit - Pinehurst Digital INV-2236
2026-05-12;1000 Cash;19739.0;;Deposit - Aldergate Insurance INV-2235
2026-05-12;1100 Accounts Receivable;;19739.0;Deposit - Aldergate Insurance INV-2235
2026-05-13;1000 Cash;36716.0;;Deposit - Zephyr Dynamics INV-2233
2026-05-13;1100 Accounts Receivable;;36716.0;Deposit - Zephyr Dynamics INV-2233
2026-05-13;1100 Accounts Receivable;15087.0;;Invoice INV-2240 - Aldergate Insurance
2026-05-13;4000 Subscription Revenue;;15087.0;Invoice INV-2240 - Aldergate Insurance
2026-05-14;1000 Cash;;4712.0;Pay BILL-3129 Helix IT Solutions CHK#1008
2026-05-14;2000 Accounts Payable;4712.0;;Pay BILL-3129 Helix IT Solutions CHK#1008
2026-05-15;1000 Cash;;51326.0;Payroll 2026-05/01-05/15
2026-05-15;2300 Payroll Liabilities;;14476.0;Payroll 2026-05/01-05/15
2026-05-15;6000 Salaries Expense;65802.0;;Payroll 2026-05/01-05/15
2026-05-17;2000 Accounts Payable;;2406.0;BILL-3127 Lumen Office Supply
2026-05-17;6700 Office Supplies;2406.0;;BILL-3127 Lumen Office Supply
2026-05-18;1100 Accounts Receivable;31701.0;;Invoice INV-2241 - Aldergate Insurance
2026-05-18;4000 Subscription Revenue;;31701.0;Invoice INV-2241 - Aldergate Insurance
2026-05-18;2000 Accounts Payable;;2773.0;BILL-3128 Helix IT Solutions
2026-05-18;6450 Software Expense;2773.0;;BILL-3128 Helix IT Solutions
2026-05-18;2000 Accounts Payable;;8288.0;BILL-3130 Meridian Legal LLP
2026-05-18;6600 Professional Fees;8288.0;;BILL-3130 Meridian Legal LLP
2026-05-19;1100 Accounts Receivable;30578.0;;Invoice INV-2238 - Ivywood Enterprises
2026-05-19;4100 Professional Services Revenue;;30578.0;Invoice INV-2238 - Ivywood Enterprises
2026-05-20;1000 Cash;6928.0;;Deposit - Birchfield Foods INV-2234
2026-05-20;1100 Accounts Receivable;;6928.0;Deposit - Birchfield Foods INV-2234
2026-05-21;1000 Cash;7922.0;;Deposit - Crestline Partners INV-2239
2026-05-21;1100 Accounts Receivable;;7922.0;Deposit - Crestline Partners INV-2239
2026-05-22;1100 Accounts Receivable;12505.0;;Invoice INV-2237 - Aldergate Insurance
2026-05-22;4000 Subscription Revenue;;12505.0;Invoice INV-2237 - Aldergate Insurance
2026-05-25;1000 Cash;;2773.0;Pay BILL-3128 Helix IT Solutions CHK#1010
2026-05-25;2000 Accounts Payable;2773.0;;Pay BILL-3128 Helix IT Solutions CHK#1010
2026-05-26;1000 Cash;;2406.0;Pay BILL-3127 Lumen Office Supply CHK#1009
2026-05-26;2000 Accounts Payable;2406.0;;Pay BILL-3127 Lumen Office Supply CHK#1009
2026-05-28;1000 Cash;;51193.0;Payroll 2026-05/16-05/30
2026-05-28;2300 Payroll Liabilities;;14439.0;Payroll 2026-05/16-05/30
2026-05-28;6000 Salaries Expense;65632.0;;Payroll 2026-05/16-05/30
2026-05-28;1300 Prepaid Insurance;;82.0;Monthly insurance amortization
2026-05-28;6400 Insurance Expense;82.0;;Monthly insurance amortization
2026-05-28;1590 Accumulated Depreciation;;1369.23;Monthly depreciation
2026-05-28;6800 Depreciation Expense;1369.23;;Monthly depreciation
2026-06-03;1000 Cash;;11986.0;Rent - Grandview Properties LLC
2026-06-03;6100 Rent Expense;11986.0;;Rent - Grandview Properties LLC
2026-06-04;1100 Accounts Receivable;32073.0;;Invoice INV-2242 - Zephyr Dynamics
2026-06-04;4100 Professional Services Revenue;;32073.0;Invoice INV-2242 - Zephyr Dynamics
2026-06-04;2000 Accounts Payable;;483.0;BILL-3131 Clearbyte Cloud Services
2026-06-04;6300 Software Subscriptions;483.0;;BILL-3131 Clearbyte Cloud Services
2026-06-05;2000 Accounts Payable;;7590.0;BILL-3133 Ridgeline Telecom
2026-06-05;6500 Utilities Expense;7590.0;;BILL-3133 Ridgeline Telecom
2026-06-06;1000 Cash;30578.0;;Deposit - Ivywood Enterprises INV-2238
2026-06-06;1100 Accounts Receivable;;30578.0;Deposit - Ivywood Enterprises INV-2238
2026-06-06;2000 Accounts Payable;;19324.75;BILL-3136 Kite Digital Ads
2026-06-06;6200 Advertising & Marketing;19324.75;;BILL-3136 Kite Digital Ads
2026-06-07;1100 Accounts Receivable;32446.0;;Invoice INV-2243 - Aldergate Insurance
2026-06-07;4000 Subscription Revenue;;32446.0;Invoice INV-2243 - Aldergate Insurance
2026-06-08;1000 Cash;;7590.0;Pay BILL-3133 Ridgeline Telecom CHK#1012
2026-06-08;2000 Accounts Payable;7590.0;;Pay BILL-3133 Ridgeline Telecom CHK#1012
2026-06-10;2000 Accounts Payable;;3935.0;BILL-3135 Ridgeline Telecom
2026-06-10;6500 Utilities Expense;3935.0;;BILL-3135 Ridgeline Telecom
2026-06-10;2000 Accounts Payable;;6435.0;BILL-3138 Kite Digital Ads
2026-06-10;6700 Office Supplies;6435.0;;BILL-3138 Kite Digital Ads
2026-06-12;2000 Accounts Payable;;15698.68;BILL-3137 Meridian Legal LLP
2026-06-12;6600 Professional Fees;15698.68;;BILL-3137 Meridian Legal LLP
2026-06-12;1000 Cash;10999.0;;Owner capital contribution
2026-06-12;3000 Retained Earnings;;10999.0;Owner capital contribution
2026-06-13;1000 Cash;31701.0;;Deposit - Aldergate Insurance INV-2241
2026-06-13;1100 Accounts Receivable;;31701.0;Deposit - Aldergate Insurance INV-2241
2026-06-13;1100 Accounts Receivable;14556.0;;Invoice INV-2246 - Yardley Supply
2026-06-13;4000 Subscription Revenue;;14556.0;Invoice INV-2246 - Yardley Supply
2026-06-15;1000 Cash;;54120.0;Payroll 2026-06/01-06/15
2026-06-15;2300 Payroll Liabilities;;15264.0;Payroll 2026-06/01-06/15
2026-06-15;6000 Salaries Expense;69384.0;;Payroll 2026-06/01-06/15
2026-06-16;1000 Cash;12505.0;;Deposit - Aldergate Insurance INV-2237
2026-06-16;1100 Accounts Receivable;;12505.0;Deposit - Aldergate Insurance INV-2237
2026-06-16;1000 Cash;;6435.0;Pay BILL-3138 Kite Digital Ads CHK#1013
2026-06-16;2000 Accounts Payable;6435.0;;Pay BILL-3138 Kite Digital Ads CHK#1013
2026-06-17;1000 Cash;15087.0;;Deposit - Aldergate Insurance INV-2240
2026-06-17;1100 Accounts Receivable;;15087.0;Deposit - Aldergate Insurance INV-2240
2026-06-17;1100 Accounts Receivable;23521.0;;Invoice INV-2244 - Brockman & Hale
2026-06-17;4000 Subscription Revenue;;23521.0;Invoice INV-2244 - Brockman & Hale
2026-06-17;2000 Accounts Payable;;948.0;BILL-3134 CloudSpan Hosting
2026-06-17;6450 Software Expense;948.0;;BILL-3134 CloudSpan Hosting
2026-06-18;1000 Cash;;15698.68;Pay BILL-3137 Meridian Legal LLP CHK#1014
2026-06-18;2000 Accounts Payable;15698.68;;Pay BILL-3137 Meridian Legal LLP CHK#1014
2026-06-18;2000 Accounts Payable;;3211.0;BILL-3132 Trellis Marketing Group
2026-06-18;6200 Advertising & Marketing;3211.0;;BILL-3132 Trellis Marketing Group
2026-06-19;1100 Accounts Receivable;38655.0;;Invoice INV-2247 - Ivywood Enterprises
2026-06-19;4000 Subscription Revenue;;38655.0;Invoice INV-2247 - Ivywood Enterprises
2026-06-20;1000 Cash;;948.0;Pay BILL-3134 CloudSpan Hosting CHK#1015
2026-06-20;2000 Accounts Payable;948.0;;Pay BILL-3134 CloudSpan Hosting CHK#1015
2026-06-23;1100 Accounts Receivable;8706.0;;Invoice INV-2245 - Yardley Supply
2026-06-23;4100 Professional Services Revenue;;8706.0;Invoice INV-2245 - Yardley Supply
2026-06-24;1000 Cash;;3211.0;Pay BILL-3132 Trellis Marketing Group CHK#1016
2026-06-24;2000 Accounts Payable;3211.0;;Pay BILL-3132 Trellis Marketing Group CHK#1016
