Date;Account;Debit;cr;memo
05/26/2026;1000 Cash;14553.0;;Deposit - Birchfield Foods INV-2241
05/26/2026;1100 Accounts Receivable;;14553.0;Deposit - Birchfield Foods INV-2241
05/28/2026;1000 Cash;;67410.0;Payroll 2026-05/16-05/30
05/28/2026;2300 Payroll Liabilities;;19012.0;Payroll 2026-05/16-05/30
05/28/2026;6000 Salaries Expense;86422.0;;Payroll 2026-05/16-05/30
05/28/2026;1300 Prepaid Insurance;;177.0;Monthly insurance amortization
05/28/2026;6400 Insurance Expense;177.0;;Monthly insurance amortization
05/28/2026;1590 Accumulated Depreciation;;2753.61;Monthly depreciation
05/28/2026;6800 Depreciation Expense;2753.61;;Monthly depreciation
06/01/2026;1000 Cash;9432.0;;Deposit - Hartwell Group INV-2242
06/01/2026;1100 Accounts Receivable;;9432.0;Deposit - Hartwell Group INV-2242
06/02/2026;1100 Accounts Receivable;20223.0;;Invoice INV-2249 - Hartwell Group
06/02/2026;4000 Wholesale Sales;;20223.0;Invoice INV-2249 - Hartwell Group
06/02/2026;1400 Inventory;;11283.0;COGS - INV-2249
06/02/2026;5000 Cost of Goods Sold;11283.0;;COGS - INV-2249
06/03/2026;1000 Cash;;10784.0;Rent - Harborstone Realty Partners
06/03/2026;6100 Rent Expense;10784.0;;Rent - Harborstone Realty Partners
06/04/2026;1000 Cash;14633.0;;Deposit - Marlowe & Finch INV-2243
06/04/2026;1100 Accounts Receivable;;14633.0;Deposit - Marlowe & Finch INV-2243
06/04/2026;2000 Accounts Payable;;8785.0;BILL-3120 Junction Utility Co-op
06/04/2026;6500 Utilities Expense;8785.0;;BILL-3120 Junction Utility Co-op
06/05/2026;1100 Accounts Receivable;21852.0;;Invoice INV-2248 - Aldergate Insurance
06/05/2026;4000 Wholesale Sales;;21852.0;Invoice INV-2248 - Aldergate Insurance
06/05/2026;1400 Inventory;;10803.0;COGS - INV-2248
06/05/2026;5000 Cost of Goods Sold;10803.0;;COGS - INV-2248
06/05/2026;1000 Cash;;936.0;Prepaid software - 12 month license (Bytefield Systems LLC)
06/05/2026;1310 Prepaid Software;936.0;;Prepaid software - 12 month license (Bytefield Systems LLC)
06/08/2026;1000 Cash;24479.0;;Deposit - Longmont Systems INV-2244
06/08/2026;1100 Accounts Receivable;;24479.0;Deposit - Longmont Systems INV-2244
06/08/2026;1000 Cash;31393.0;;Deposit - Birchfield Foods INV-2245
06/08/2026;1100 Accounts Receivable;;31393.0;Deposit - Birchfield Foods INV-2245
06/08/2026;2000 Accounts Payable;;3301.0;BILL-3118 Pillar Accounting Services
06/08/2026;6600 Professional Fees;3301.0;;BILL-3118 Pillar Accounting Services
06/08/2026;2000 Accounts Payable;;19633.85;BILL-3123 Firstlane Logistics
06/08/2026;5100 Freight & Shipping;19633.85;;BILL-3123 Firstlane Logistics
06/11/2026;1000 Cash;;19633.85;Pay BILL-3123 Firstlane Logistics CHK#1013
06/11/2026;2000 Accounts Payable;19633.85;;Pay BILL-3123 Firstlane Logistics CHK#1013
06/11/2026;2000 Accounts Payable;;5023.0;BILL-3119 Quicksilver Couriers
06/11/2026;5100 Freight & Shipping;5023.0;;BILL-3119 Quicksilver Couriers
06/12/2026;1000 Cash;10996.0;;Owner capital contribution
06/12/2026;3000 Retained Earnings;;10996.0;Owner capital contribution
06/15/2026;2000 Accounts Payable;;18554.72;BILL-3124 Trellis Marketing Group
06/15/2026;6200 Advertising & Marketing;18554.72;;BILL-3124 Trellis Marketing Group
06/15/2026;2000 Accounts Payable;;13480.78;BILL-3125 Meridian Legal LLP
06/15/2026;6600 Professional Fees;13480.78;;BILL-3125 Meridian Legal LLP
06/15/2026;1000 Cash;;32735.0;Payroll 2026-06/01-06/15
06/15/2026;2300 Payroll Liabilities;;9232.0;Payroll 2026-06/01-06/15
06/15/2026;6000 Salaries Expense;41967.0;;Payroll 2026-06/01-06/15
06/16/2026;1000 Cash;15647.0;;Deposit - Marlowe & Finch INV-2247
06/16/2026;1100 Accounts Receivable;;15647.0;Deposit - Marlowe & Finch INV-2247
06/16/2026;1100 Accounts Receivable;32147.0;;Invoice INV-2251 - Aldergate Insurance
06/16/2026;4000 Wholesale Sales;;32147.0;Invoice INV-2251 - Aldergate Insurance
06/16/2026;1400 Inventory;;18107.0;COGS - INV-2251
06/16/2026;5000 Cost of Goods Sold;18107.0;;COGS - INV-2251
06/17/2026;1100 Accounts Receivable;46712.0;;Invoice INV-2250 - Vesper Technologies
06/17/2026;4000 Wholesale Sales;;46712.0;Invoice INV-2250 - Vesper Technologies
06/17/2026;1400 Inventory;;24455.0;COGS - INV-2250
06/17/2026;5000 Cost of Goods Sold;24455.0;;COGS - INV-2250
06/18/2026;1000 Cash;;13480.78;Pay BILL-3125 Meridian Legal LLP CHK#1015
06/18/2026;2000 Accounts Payable;13480.78;;Pay BILL-3125 Meridian Legal LLP CHK#1015
06/18/2026;2000 Accounts Payable;;7815.0;BILL-3121 Delta Facility Services
06/18/2026;6700 Office Supplies;7815.0;;BILL-3121 Delta Facility Services
06/18/2026;2000 Accounts Payable;;10801.0;BILL-3122 Pillar Accounting Services
06/18/2026;6600 Professional Fees;10801.0;;BILL-3122 Pillar Accounting Services
06/20/2026;1000 Cash;;5023.0;Pay BILL-3119 Quicksilver Couriers CHK#1014
06/20/2026;2000 Accounts Payable;5023.0;;Pay BILL-3119 Quicksilver Couriers CHK#1014
06/24/2026;1000 Cash;21291.0;;Deposit - Zephyr Dynamics INV-2246
06/24/2026;1100 Accounts Receivable;;21291.0;Deposit - Zephyr Dynamics INV-2246
06/28/2026;1590 Accumulated Depreciation;;2753.61;Monthly depreciation
06/28/2026;6800 Depreciation Expense;2753.61;;Monthly depreciation
