date,gl_account,Debit,cr,Memo
06/17/2026,2000 Accounts Payable,,12214.62,BILL-3135 Meridian Legal LLP
06/17/2026,6600 Professional Fees,12214.62,,BILL-3135 Meridian Legal LLP
06/18/2026,2000 Accounts Payable,,20081.25,BILL-3136 Trellis Marketing Group
06/18/2026,6200 Advertising & Marketing,20081.25,,BILL-3136 Trellis Marketing Group
06/19/2026,1000 Cash,9466.0,,Deposit - Nordica Labs INV-2217
06/19/2026,1100 Accounts Receivable,,9466.0,Deposit - Nordica Labs INV-2217
06/20/2026,2000 Accounts Payable,,1574.0,BILL-3130 Pillar Accounting Services
06/20/2026,6600 Professional Fees,1574.0,,BILL-3130 Pillar Accounting Services
06/20/2026,2000 Accounts Payable,,481.0,BILL-3134 Bright Harbor Media
06/20/2026,6200 Advertising & Marketing,481.0,,BILL-3134 Bright Harbor Media
06/21/2026,1000 Cash,,5278.0,Pay BILL-3137 Trellis Marketing Group CHK#1011
06/21/2026,2000 Accounts Payable,5278.0,,Pay BILL-3137 Trellis Marketing Group CHK#1011
06/21/2026,1000 Cash,,7536.0,Pay BILL-3133 Helix IT Solutions CHK#1012
06/21/2026,2000 Accounts Payable,7536.0,,Pay BILL-3133 Helix IT Solutions CHK#1012
06/21/2026,1000 Cash,,20081.25,Pay BILL-3136 Trellis Marketing Group CHK#1014
06/21/2026,2000 Accounts Payable,20081.25,,Pay BILL-3136 Trellis Marketing Group CHK#1014
06/22/2026,1000 Cash,,12214.62,Pay BILL-3135 Meridian Legal LLP CHK#1013
06/22/2026,2000 Accounts Payable,12214.62,,Pay BILL-3135 Meridian Legal LLP CHK#1013
06/22/2026,2000 Accounts Payable,,4686.0,BILL-3131 Stackline SaaS Tools
06/22/2026,6300 Software Subscriptions,4686.0,,BILL-3131 Stackline SaaS Tools
06/23/2026,1100 Accounts Receivable,31202.0,,Invoice INV-2221 - Longmont Systems
06/23/2026,4000 Subscription Revenue,,31202.0,Invoice INV-2221 - Longmont Systems
06/26/2026,1000 Cash,,1574.0,Pay BILL-3130 Pillar Accounting Services CHK#1015
06/26/2026,2000 Accounts Payable,1574.0,,Pay BILL-3130 Pillar Accounting Services CHK#1015
06/28/2026,1000 Cash,20928.0,,Deposit - Quimby Ventures INV-2215
06/28/2026,1100 Accounts Receivable,,20928.0,Deposit - Quimby Ventures INV-2215
06/28/2026,1000 Cash,20109.0,,Deposit - Ferrell Industries INV-2226
06/28/2026,1100 Accounts Receivable,,20109.0,Deposit - Ferrell Industries INV-2226
06/28/2026,1000 Cash,,481.0,Pay BILL-3134 Bright Harbor Media CHK#1016
06/28/2026,2000 Accounts Payable,481.0,,Pay BILL-3134 Bright Harbor Media CHK#1016
06/28/2026,1000 Cash,,4686.0,Pay BILL-3131 Stackline SaaS Tools CHK#1017
06/28/2026,2000 Accounts Payable,4686.0,,Pay BILL-3131 Stackline SaaS Tools CHK#1017
06/28/2026,1590 Accumulated Depreciation,,1294.21,Monthly depreciation
06/28/2026,6800 Depreciation Expense,1294.21,,Monthly depreciation
