Date,Account,debit,credit,memo
17-Jun-2026,2000 Accounts Payable,,7214.0,BILL-3141 Stackline SaaS Tools
17-Jun-2026,6300 Software Subscriptions,7214.0,,BILL-3141 Stackline SaaS Tools
17-Jun-2026,2000 Accounts Payable,,9236.54,BILL-3146 Kite Digital Ads
17-Jun-2026,6200 Advertising & Marketing,9236.54,,BILL-3146 Kite Digital Ads
18-Jun-2026,1100 Accounts Receivable,10061.0,,Invoice INV-2234 - Jasper Analytics
18-Jun-2026,4100 Professional Services Revenue,,10061.0,Invoice INV-2234 - Jasper Analytics
18-Jun-2026,1100 Accounts Receivable,27239.0,,Invoice INV-2235 - Crestline Partners
18-Jun-2026,4000 Subscription Revenue,,27239.0,Invoice INV-2235 - Crestline Partners
19-Jun-2026,1100 Accounts Receivable,5896.0,,Invoice INV-2232 - Hartwell Group
19-Jun-2026,4000 Subscription Revenue,,5896.0,Invoice INV-2232 - Hartwell Group
19-Jun-2026,1000 Cash,,18430.09,Pay BILL-3147 Meridian Legal LLP CHK#1018
19-Jun-2026,2000 Accounts Payable,18430.09,,Pay BILL-3147 Meridian Legal LLP CHK#1018
20-Jun-2026,1000 Cash,,7339.0,Pay BILL-3142 Stanton Cleaning Crew CHK#1019
20-Jun-2026,2000 Accounts Payable,7339.0,,Pay BILL-3142 Stanton Cleaning Crew CHK#1019
22-Jun-2026,1000 Cash,,5886.0,Pay BILL-3140 Stanton Cleaning Crew CHK#1020
22-Jun-2026,2000 Accounts Payable,5886.0,,Pay BILL-3140 Stanton Cleaning Crew CHK#1020
24-Jun-2026,1100 Accounts Receivable,33582.0,,Invoice INV-2230 - Crestline Partners
24-Jun-2026,4100 Professional Services Revenue,,33582.0,Invoice INV-2230 - Crestline Partners
25-Jun-2026,1000 Cash,19715.0,,Deposit - Kelso Brands INV-2231
25-Jun-2026,1100 Accounts Receivable,,19715.0,Deposit - Kelso Brands INV-2231
26-Jun-2026,1000 Cash,,7214.0,Pay BILL-3141 Stackline SaaS Tools CHK#1021
26-Jun-2026,2000 Accounts Payable,7214.0,,Pay BILL-3141 Stackline SaaS Tools CHK#1021
