posting_date;Account;dr;Credit;Memo
2026-05-08;5100 Freight & Shipping;5294.0;;BILL-3143 Zenith Freight Lines
2026-05-09;1100 Accounts Receivable;4911.0;;Invoice INV-2210 - Brockman & Hale
2026-05-09;4000 Product Sales;;4911.0;Invoice INV-2210 - Brockman & Hale
2026-05-09;1400 Inventory;;2082.0;COGS - INV-2210
2026-05-09;5000 Cost of Goods Sold;2082.0;;COGS - INV-2210
2026-05-10;1100 Accounts Receivable;25434.0;;Invoice INV-2214 - Longmont Systems
2026-05-10;4100 Shipping Income;;25434.0;Invoice INV-2214 - Longmont Systems
2026-05-11;2000 Accounts Payable;;2002.0;BILL-3142 Pillar Accounting Services
2026-05-11;6600 Professional Fees;2002.0;;BILL-3142 Pillar Accounting Services
2026-05-12;2000 Accounts Payable;;3454.0;BILL-3141 Kite Digital Ads
2026-05-12;6200 Advertising & Marketing;3454.0;;BILL-3141 Kite Digital Ads
2026-05-14;1000 Cash;;5294.0;Pay BILL-3143 Zenith Freight Lines CHK#1007
2026-05-14;2000 Accounts Payable;5294.0;;Pay BILL-3143 Zenith Freight Lines CHK#1007
2026-05-15;1000 Cash;;38398.0;Payroll 2026-05/01-05/15
2026-05-15;2300 Payroll Liabilities;;10829.0;Payroll 2026-05/01-05/15
2026-05-15;6000 Salaries Expense;49227.0;;Payroll 2026-05/01-05/15
2026-05-16;1100 Accounts Receivable;19481.0;;Invoice INV-2212 - Hartwell Group
2026-05-16;4000 Product Sales;;19481.0;Invoice INV-2212 - Hartwell Group
2026-05-16;1400 Inventory;;8688.0;COGS - INV-2212
2026-05-16;5000 Cost of Goods Sold;8688.0;;COGS - INV-2212
2026-05-17;1000 Cash;;3454.0;Pay BILL-3141 Kite Digital Ads CHK#1008
2026-05-17;2000 Accounts Payable;3454.0;;Pay BILL-3141 Kite Digital Ads CHK#1008
2026-05-19;1100 Accounts Receivable;5344.0;;Invoice INV-2213 - Hartwell Group
2026-05-19;4000 Product Sales;;5344.0;Invoice INV-2213 - Hartwell Group
2026-05-19;1400 Inventory;;2939.0;COGS - INV-2213
2026-05-19;5000 Cost of Goods Sold;2939.0;;COGS - INV-2213
2026-05-19;2000 Accounts Payable;;4761.0;BILL-3140 Delta Facility Services
2026-05-19;6700 Office Supplies;4761.0;;BILL-3140 Delta Facility Services
2026-05-25;1000 Cash;;4761.0;Pay BILL-3140 Delta Facility Services CHK#1009
2026-05-25;2000 Accounts Payable;4761.0;;Pay BILL-3140 Delta Facility Services CHK#1009
2026-05-26;1000 Cash;9078.0;;Deposit - Rosewood Retail INV-2211
2026-05-26;1100 Accounts Receivable;;9078.0;Deposit - Rosewood Retail INV-2211
2026-05-28;1000 Cash;10745.0;;Deposit - Pinehurst Digital INV-2204
2026-05-28;1100 Accounts Receivable;;10745.0;Deposit - Pinehurst Digital INV-2204
2026-05-28;1000 Cash;;38281.0;Payroll 2026-05/16-05/30
2026-05-28;2300 Payroll Liabilities;;10796.0;Payroll 2026-05/16-05/30
2026-05-28;6000 Salaries Expense;49077.0;;Payroll 2026-05/16-05/30
2026-05-28;1300 Prepaid Insurance;;98.0;Monthly insurance amortization
2026-05-28;6400 Insurance Expense;98.0;;Monthly insurance amortization
2026-05-28;1590 Accumulated Depreciation;;1184.23;Monthly depreciation
2026-05-28;6800 Depreciation Expense;1184.23;;Monthly depreciation
2026-06-02;1000 Cash;19481.0;;Deposit - Hartwell Group INV-2212
2026-06-02;1100 Accounts Receivable;;19481.0;Deposit - Hartwell Group INV-2212
2026-06-03;1100 Accounts Receivable;18451.0;;Invoice INV-2215 - Ivywood Enterprises
2026-06-03;4000 Product Sales;;18451.0;Invoice INV-2215 - Ivywood Enterprises
2026-06-03;1400 Inventory;;10110.0;COGS - INV-2215
2026-06-03;5000 Cost of Goods Sold;10110.0;;COGS - INV-2215
2026-06-03;1000 Cash;;7202.0;Rent - Amberfield Property Group
2026-06-03;6100 Rent Expense;7202.0;;Rent - Amberfield Property Group
2026-06-03;2000 Accounts Payable;;3005.0;BILL-3149 Pillar Accounting Services
2026-06-03;6600 Professional Fees;3005.0;;BILL-3149 Pillar Accounting Services
2026-06-04;2000 Accounts Payable;;2548.0;BILL-3146 Zenith Freight Lines
2026-06-04;5100 Freight & Shipping;2548.0;;BILL-3146 Zenith Freight Lines
2026-06-04;2000 Accounts Payable;;14615.61;BILL-3150 Meridian Legal LLP
2026-06-04;6600 Professional Fees;14615.61;;BILL-3150 Meridian Legal LLP
2026-06-05;1000 Cash;;876.0;Prepaid software - 12 month license (Lattice Desk Software)
2026-06-05;1310 Prepaid Software;876.0;;Prepaid software - 12 month license (Lattice Desk Software)
2026-06-06;1000 Cash;25434.0;;Deposit - Longmont Systems INV-2214
2026-06-06;1100 Accounts Receivable;;25434.0;Deposit - Longmont Systems INV-2214
2026-06-07;1100 Accounts Receivable;25250.0;;Invoice INV-2217 - Pinehurst Digital
2026-06-07;4000 Product Sales;;25250.0;Invoice INV-2217 - Pinehurst Digital
2026-06-07;1400 Inventory;;14305.0;COGS - INV-2217
2026-06-07;5000 Cost of Goods Sold;14305.0;;COGS - INV-2217
2026-06-07;2000 Accounts Payable;;14805.19;BILL-3152 Trellis Marketing Group
2026-06-07;6200 Advertising & Marketing;14805.19;;BILL-3152 Trellis Marketing Group
2026-06-08;1000 Cash;4911.0;;Deposit - Brockman & Hale INV-2210
2026-06-08;1100 Accounts Receivable;;4911.0;Deposit - Brockman & Hale INV-2210
2026-06-08;1000 Cash;;14615.61;Pay BILL-3150 Meridian Legal LLP CHK#1012
2026-06-08;2000 Accounts Payable;14615.61;;Pay BILL-3150 Meridian Legal LLP CHK#1012
2026-06-09;1000 Cash;;2548.0;Pay BILL-3146 Zenith Freight Lines CHK#1011
2026-06-09;2000 Accounts Payable;2548.0;;Pay BILL-3146 Zenith Freight Lines CHK#1011
2026-06-10;2000 Accounts Payable;;2845.0;BILL-3153 Trellis Marketing Group
2026-06-10;6700 Office Supplies;2845.0;;BILL-3153 Trellis Marketing Group
2026-06-12;1000 Cash;19594.0;;Owner capital contribution
2026-06-12;3000 Retained Earnings;;19594.0;Owner capital contribution
2026-06-13;2000 Accounts Payable;;11471.44;BILL-3151 Firstlane Logistics
2026-06-13;5100 Freight & Shipping;11471.44;;BILL-3151 Firstlane Logistics
2026-06-14;2000 Accounts Payable;;5803.0;BILL-3147 Junction Utility Co-op
2026-06-14;6500 Utilities Expense;5803.0;;BILL-3147 Junction Utility Co-op
2026-06-15;1000 Cash;5344.0;;Deposit - Hartwell Group INV-2213
2026-06-15;1100 Accounts Receivable;;5344.0;Deposit - Hartwell Group INV-2213
2026-06-15;1000 Cash;;2845.0;Pay BILL-3153 Trellis Marketing Group CHK#1013
2026-06-15;2000 Accounts Payable;2845.0;;Pay BILL-3153 Trellis Marketing Group CHK#1013
2026-06-15;2000 Accounts Payable;;959.0;BILL-3145 Kite Digital Ads
2026-06-15;6200 Advertising & Marketing;959.0;;BILL-3145 Kite Digital Ads
2026-06-15;1000 Cash;;33711.0;Payroll 2026-06/01-06/15
2026-06-15;2300 Payroll Liabilities;;9507.0;Payroll 2026-06/01-06/15
2026-06-15;6000 Salaries Expense;43218.0;;Payroll 2026-06/01-06/15
2026-06-16;1000 Cash;;11471.44;Pay BILL-3151 Firstlane Logistics CHK#1014
2026-06-16;2000 Accounts Payable;11471.44;;Pay BILL-3151 Firstlane Logistics CHK#1014
2026-06-17;2000 Accounts Payable;;5578.0;BILL-3148 Ridgeline Telecom
2026-06-17;6500 Utilities Expense;5578.0;;BILL-3148 Ridgeline Telecom
2026-06-18;1000 Cash;;5803.0;Pay BILL-3147 Junction Utility Co-op CHK#1015
2026-06-18;2000 Accounts Payable;5803.0;;Pay BILL-3147 Junction Utility Co-op CHK#1015
2026-06-21;1100 Accounts Receivable;24613.0;;Invoice INV-2216 - Ivywood Enterprises
2026-06-21;4100 Shipping Income;;24613.0;Invoice INV-2216 - Ivywood Enterprises
2026-06-21;1100 Accounts Receivable;22989.0;;Invoice INV-2219 - Underhill Logistics
2026-06-21;4100 Shipping Income;;22989.0;Invoice INV-2219 - Underhill Logistics
2026-06-22;1000 Cash;;959.0;Pay BILL-3145 Kite Digital Ads CHK#1016
2026-06-22;2000 Accounts Payable;959.0;;Pay BILL-3145 Kite Digital Ads CHK#1016
2026-06-23;1100 Accounts Receivable;14384.0;;Invoice INV-2218 - Underhill Logistics
2026-06-23;4000 Product Sales;;14384.0;Invoice INV-2218 - Underhill Logistics
2026-06-23;1400 Inventory;;7952.0;COGS - INV-2218
2026-06-23;5000 Cost of Goods Sold;7952.0;;COGS - INV-2218
2026-06-28;1590 Accumulated Depreciation;;1184.23;Monthly depreciation
2026-06-28;6800 Depreciation Expense;1184.23;;Monthly depreciation
